lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
barely,barely,,adv.,겨우 / 간신히,She barely passed the test.,그녀는 겨우 시험을 통과했다.,normal,,,FALSE
pro,pro,,n.|prep.,전문가 / 프로,He is a pro at cooking.,그는 요리 전문가이다.,normal,,,FALSE
motivation,motivation,,n.,동기 / 의욕,She has a lot of motivation to study.,그녀는 공부할 의욕이 넘친다.,normal,,,FALSE
firmly,firmly,,adv.,단단히 / 확고하게,He held her hand firmly.,그는 그녀의 손을 꼭 잡았다.,normal,,,FALSE
interior,interior,,adj.|n.,내부의 / 내부,The interior of the house is very clean.,그 집의 내부는 매우 깨끗하다.,normal,,,FALSE
championship,championship,,n.,선수권 대회 / 우승,Our team won the championship.,우리 팀이 선수권 대회에서 우승했다.,normal,,,FALSE
excess,excess,,adj.|n.,초과 / 지나침,She ate an excess of sugar.,그녀는 설탕을 지나치게 먹었다.,normal,,,FALSE
complexity,complexity,,n.,복잡함,The complexity of the recipe surprised her.,그 요리법의 복잡함이 그녀를 놀라게 했다.,normal,,,FALSE
liability,liability,,n.,책임 / 부담,He took full liability for the mistake.,그는 실수에 대해 전적으로 책임을 졌다.,normal,,,FALSE
surprisingly,surprisingly,,adv.,놀랍게도,"Surprisingly, she cooked dinner alone.","놀랍게도, 그녀는 혼자 저녁을 요리했다.",normal,,,FALSE
extract,extract,,n.|v.,추출물,She added vanilla extract to the cake.,그녀는 케이크에 바닐라 추출물을 넣었다.,polysemy_split,(추출물),,FALSE
extract,extract,,n.|v.,뽑아내다 / 추출하다,He extracted juice from the orange.,그는 오렌지에서 즙을 뽑아냈다.,polysemy_split,(뽑아내다),extract,FALSE
implementation,implementation,,n.,실행 / 시행,The implementation of the new rule was fast.,새 규칙의 시행은 빠르게 이루어졌다.,normal,,,FALSE
bias,bias,,n.|v.,편견 / 치우침,We should not have bias toward others.,우리는 다른 사람에 대한 편견을 가져서는 안 된다.,normal,,,FALSE
catalog,catalog,catalogue,n.|v.,목록 / 카탈로그,She looked through the shopping catalog.,그녀는 쇼핑 카탈로그를 훑어봤다.,normal,,,FALSE
golden,golden,,adj.,황금빛의 / 금빛의,The golden leaves fell from the tree.,황금빛 나뭇잎이 나무에서 떨어졌다.,normal,,,FALSE
guideline,guideline,,n.,지침 / 안내 기준,Please follow the safety guidelines.,안전 지침을 따라 주세요.,normal,,,FALSE
envelope,envelope,,n.,봉투,She put the letter in an envelope.,그녀는 편지를 봉투에 넣었다.,normal,,,FALSE
biological,biological,,adj.,생물학적인 / 생물의,They studied biological changes in plants.,그들은 식물의 생물학적 변화를 연구했다.,normal,,,FALSE
weekly,weekly,,adj.|adv.|n.,매주의 / 매주,She has a weekly meeting every Monday.,그녀는 매주 월요일에 회의가 있다.,normal,,,FALSE
