lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
used,used,,adj.,중고의 / 사용된,She bought a used car.,그녀는 중고차를 샀어요.,normal,,,FALSE
viewer,viewer,,n.,시청자 / 보는 사람,Many viewers watched the show.,많은 시청자들이 그 쇼를 봤어요.,normal,,,FALSE
warning,warning,,n.,경고 / 주의,The teacher gave a warning to the boy.,선생님이 그 소년에게 경고를 했어요.,normal,,,FALSE
worldwide,worldwide,,adj.|adv.,전 세계적인 / 전 세계적으로,The song is popular worldwide.,그 노래는 전 세계적으로 인기 있어요.,normal,,,FALSE
written,written,,adj.,글로 쓰인 / 서면의,She got a written letter from her friend.,그녀는 친구에게서 손으로 쓴 편지를 받았어요.,normal,,,FALSE
but,but,,prep.,~을 제외하고,Everyone but me was there.,나를 제외한 모두가 거기 있었어요.,function_word,,,FALSE
make,make,,n.,제조사 / 브랜드,What make is your phone?,당신 전화기는 어떤 브랜드예요?,normal,,,FALSE
time,time,,v.,시간을 재다,She timed the race with a watch.,그녀는 시계로 경주 시간을 쟀어요.,normal,,,FALSE
very,very,,adj.,바로 그 / 정확히 그,This is the very book I wanted.,이것이 바로 제가 원하던 책이에요.,normal,,,FALSE
way,way,,adv.,훨씬 / 많이,This bag is way too heavy.,이 가방은 훨씬 너무 무거워요.,normal,,,FALSE
back,back,,v.,뒤로 가다 / 지지하다,She backed the car into the garage.,그녀는 차를 뒤로 몰아 차고에 넣었어요.,normal,,,FALSE
even,even,,adj.,평평한 / 고른,The floor is flat and even.,바닥이 평평하고 고르네요.,normal,,,FALSE
feel,feel,,n.,느낌 / 감촉,I love the feel of soft cloth.,저는 부드러운 천의 감촉을 좋아해요.,normal,,,FALSE
try,try,,n.,시도,Give it another try!,한 번 더 시도해 보세요!,normal,,,FALSE
leave,leave,,n.,휴가 / 휴직,She is on leave this week.,그녀는 이번 주에 휴가 중이에요.,normal,,,FALSE
high,high,,n.,최고치 / 최고 기록,Prices reached a new high.,가격이 새로운 최고치에 달했어요.,normal,,,FALSE
house,house,,v.,수용하다 / 거주시키다,The building houses many families.,그 건물은 많은 가족들을 수용해요.,normal,,,FALSE
issue,issue,,v.,발급하다 / 발행하다,The office issued a new card.,사무실에서 새 카드를 발급해 줬어요.,normal,,,FALSE
hold,hold,,n.,잡기 / 통제력,She kept a firm hold of the bag.,그녀는 가방을 꽉 잡고 있었어요.,normal,,,FALSE
close,close,,n.,끝 / 마무리,The day came to a close.,그날이 끝을 맺었어요.,normal,,,FALSE
level,level,,v.,평평하게 하다 / 고르다,He leveled the ground in the garden.,그는 정원의 땅을 평평하게 했어요.,normal,,,FALSE
line,line,,v.,줄 세우다 / 늘어서다,People lined the street to watch.,사람들이 거리를 따라 줄지어 섰어요.,normal,,,FALSE
term,term,,v.,~라고 부르다 / 칭하다,We term it a big success.,우리는 그것을 큰 성공이라고 불러요.,normal,,,FALSE
low,low,,n.,최저치 / 낮은 수준,The temperature hit a new low.,기온이 새로운 최저치를 기록했어요.,normal,,,FALSE
process,process,,v.,처리하다,The bank will process your form.,은행이 당신의 양식을 처리할 거예요.,normal,,,FALSE
price,price,,v.,가격을 매기다,The bag is priced at ten dollars.,그 가방은 10달러로 가격이 매겨졌어요.,normal,,,FALSE
concern,concern,,n.,걱정 / 관심사,She has concerns about her health.,그녀는 건강에 대해 걱정이 있어요.,polysemy_split,(걱정),concern,FALSE
concern,concern,,v.,걱정시키다 / ~에 관한 것이다,The news concerned the whole family.,그 소식은 온 가족을 걱정시켰어요.,polysemy_split,(걱정시키다),concern,FALSE
stand,stand,,n.,입장 / 가판대,He took a strong stand on the issue.,그는 그 문제에 대해 강한 입장을 취했어요.,normal,,,FALSE
yet,yet,,conj.,그러나 / 그럼에도 불구하고,"She is tired, yet she keeps working.",그녀는 피곤하지만 계속 일해요.,function_word,,,FALSE
rate,rate,,v.,평가하다 / 등급을 매기다,She rated the restaurant five stars.,그녀는 그 식당에 별 다섯 개를 줬어요.,normal,,,FALSE
power,power,,v.,전력을 공급하다 / 작동시키다,The sun powers this small house.,태양이 이 작은 집에 전력을 공급해요.,normal,,,FALSE
value,value,,v.,소중히 여기다 / 가치를 평가하다,She values her family very much.,그녀는 가족을 매우 소중히 여겨요.,normal,,,FALSE
figure,figure,,v.,이해하다 / 생각하다,I can't figure out this problem.,저는 이 문제를 이해할 수가 없어요.,normal,,,FALSE
