lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
realistic,realistic,,adj.,현실적인,She has a realistic plan for her future.,그녀는 미래에 대한 현실적인 계획이 있어요.,normal,,,FALSE
satisfied,satisfied,,adj.,만족한,She was satisfied with her test result.,그녀는 시험 결과에 만족했어요.,normal,,,FALSE
saving,saving,,n.,저축 / 절약,She put her savings in the bank.,그녀는 저축한 돈을 은행에 넣었어요.,normal,,,FALSE
senate,senate,,n.,상원,The senate voted on the new law.,상원이 새 법안에 투표했어요.,normal,,,FALSE
senator,senator,,n.,상원의원,The senator gave a speech today.,그 상원의원이 오늘 연설을 했어요.,normal,,,FALSE
shocked,shocked,,adj.,충격받은,She was shocked by the bad news.,그녀는 나쁜 소식에 충격을 받았어요.,normal,,,FALSE
shooting,shooting,,n.,총격 / 촬영,There was a shooting near the school.,학교 근처에서 총격 사건이 있었어요.,normal,,,FALSE
silk,silk,,n.,비단 / 실크,She wore a beautiful silk dress.,그녀는 아름다운 실크 드레스를 입었어요.,normal,,,FALSE
sincere,sincere,,adj.,진심 어린 / 성실한,He gave a sincere apology to her.,그는 그녀에게 진심 어린 사과를 했어요.,normal,,,FALSE
spiritual,spiritual,,adj.,영적인 / 정신적인,She finds peace in spiritual practice.,그녀는 영적인 수행에서 평화를 찾아요.,normal,,,FALSE
sticky,sticky,,adj.,끈적끈적한,The candy made her hands sticky.,사탕 때문에 그녀의 손이 끈적거렸어요.,normal,,,FALSE
surrounding,surrounding,,adj.,주변의 / 인근의,The surrounding area is very quiet.,주변 지역은 매우 조용해요.,normal,,,FALSE
tropical,tropical,,adj.,열대의,We saw tropical fish in the sea.,우리는 바다에서 열대어를 봤어요.,normal,,,FALSE
unconscious,unconscious,,adj.,의식을 잃은 / 무의식적인,The man was unconscious on the floor.,그 남자는 바닥에서 의식을 잃고 있었어요.,normal,,,FALSE
unexpected,unexpected,,adj.,예상치 못한,She got an unexpected gift from him.,그녀는 그에게서 예상치 못한 선물을 받았어요.,normal,,,FALSE
venue,venue,,n.,장소 / 행사장,The wedding venue was very beautiful.,결혼식 장소가 매우 아름다웠어요.,normal,,,FALSE
vitamin,vitamin,,n.,비타민,She takes a vitamin every morning.,그녀는 매일 아침 비타민을 먹어요.,normal,,,FALSE
whom,whom,,pron.,누구를 / 누구에게 (목적격),To whom did you give the book?,누구에게 그 책을 주었나요?,function_word,,,FALSE
wildlife,wildlife,,n.,야생 동물,We saw lots of wildlife in the forest.,우리는 숲에서 많은 야생 동물을 봤어요.,normal,,,FALSE
willing,willing,,adj.,기꺼이 하는,He is willing to help his neighbor.,그는 기꺼이 이웃을 도우려 해요.,normal,,,FALSE
accord,accord,,n.|v.,합의 / 일치하다,The two countries signed an accord.,두 나라가 합의문에 서명했어요.,normal,,,FALSE
