lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
consult,consult,,v.,상담하다 / 참고하다,She consulted a doctor about her cold.,그녀는 감기 때문에 의사와 상담했습니다.,normal,,,FALSE
strip,strip,,n.|v.,띠 / 벗기다,She tore a strip of paper.,그녀는 종이를 한 줄 찢었습니다.,polysemy_split,(띠),strip,FALSE
strip,strip,,n.|v.,벗기다 / 제거하다,He stripped the old paint off the wall.,그는 벽에서 낡은 페인트를 벗겨냈습니다.,polysemy_split,(벗기다),strip,FALSE
intervention,intervention,,n.,개입 / 중재,The teacher's intervention stopped the fight.,선생님의 개입으로 싸움이 멈췄습니다.,normal,,,FALSE
vice,vice,,n.,악습 / 나쁜 버릇,Smoking is a vice he wants to stop.,흡연은 그가 그만두고 싶은 나쁜 버릇입니다.,normal,,,FALSE
radical,radical,,adj.|n.,급진적인 / 근본적인,She made a radical change to her diet.,그녀는 식단을 근본적으로 바꿨습니다.,normal,,,FALSE
dimension,dimension,,n.,차원 / 크기,We measured the dimensions of the room.,우리는 방의 크기를 측정했습니다.,normal,,,FALSE
subsequent,subsequent,,adj.,그 이후의 / 다음의,Subsequent tests showed she was healthy.,그 이후의 검사 결과 그녀는 건강했습니다.,normal,,,FALSE
efficiency,efficiency,,n.,효율 / 능률,The new machine improved work efficiency.,새 기계가 작업 효율을 높였습니다.,normal,,,FALSE
membership,membership,,n.,회원 자격 / 회원권,She bought a gym membership last month.,그녀는 지난달에 헬스장 회원권을 샀습니다.,normal,,,FALSE
bloody,bloody,,adj.|adv.|v.,피투성이의 / 피가 나는,He had a bloody cut on his hand.,그의 손에 피가 나는 상처가 있었습니다.,normal,,,FALSE
ally,ally,,n.|v.,동맹국 / 편,She is a close ally of my family.,그녀는 우리 가족의 가까운 편입니다.,polysemy_split,(동맹·편),ally,FALSE
ally,ally,,n.|v.,동맹을 맺다 / 협력하다,The two groups allied to help each other.,두 그룹은 서로 돕기 위해 협력했습니다.,polysemy_split,(협력하다),ally,FALSE
mature,mature,,adj.|v.,성숙한 / 어른스러운,She is very mature for her age.,그녀는 나이에 비해 매우 성숙합니다.,polysemy_split,(성숙한),mature,FALSE
mature,mature,,adj.|v.,성숙해지다 / 익다,The fruit matures in summer.,그 과일은 여름에 익습니다.,polysemy_split,(익다·성숙해지다),mature,FALSE
briefly,briefly,,adv.,잠깐 / 간단히,She briefly explained the plan to us.,그녀는 우리에게 계획을 간단히 설명했습니다.,normal,,,FALSE
disturb,disturb,,v.,방해하다 / 불안하게 하다,Please do not disturb her while she sleeps.,그녀가 자는 동안 방해하지 마세요.,normal,,,FALSE
sustain,sustain,,v.,유지하다 / 지속하다,She sustained her effort every day.,그녀는 매일 노력을 지속했습니다.,normal,,,FALSE
newly,newly,,adv.,새로 / 최근에,They moved into a newly built house.,그들은 새로 지어진 집으로 이사했습니다.,normal,,,FALSE
parallel,parallel,,adj.|adv.|n.|v.,평행한 / 유사한,Draw two parallel lines on the paper.,종이에 평행선 두 개를 그으세요.,normal,,,TRUE
gender,gender,,n.,성별,The form asks for your name and gender.,그 양식에는 이름과 성별을 적어야 합니다.,normal,,,FALSE
dealer,dealer,,n.,판매상 / 딜러,He bought his car from a local dealer.,그는 동네 판매상에서 차를 샀습니다.,normal,,,FALSE
burden,burden,,n.|v.,짐 / 부담,The heavy bag was a burden for the girl.,무거운 가방은 그 여자아이에게 부담이었습니다.,polysemy_split,(짐·부담),burden,FALSE
burden,burden,,n.|v.,부담을 주다 / 짐을 지우다,Don't burden her with too many tasks.,그녀에게 너무 많은 일을 부담 지우지 마세요.,polysemy_split,(부담을 주다),burden,FALSE
mate,mate,,n.|v.,친구 / 짝,He had lunch with his mate at school.,그는 학교에서 친구와 점심을 먹었습니다.,polysemy_split,(친구·짝),mate,FALSE
mate,mate,,n.|v.,짝짓기하다,Birds mate in the spring season.,새들은 봄에 짝짓기를 합니다.,polysemy_split,(짝짓기하다),mate,FALSE
shareholder,shareholder,,n.,주주 / 주식 보유자,She is a shareholder of that big company.,그녀는 그 큰 회사의 주주입니다.,normal,,,FALSE
resistance,resistance,,n.,저항 / 반발,The boy showed resistance to the new rule.,그 남자아이는 새로운 규칙에 반발했습니다.,normal,,,FALSE
tap,tap,,n.|v.,수도꼭지 / 가볍게 두드리다,She turned on the tap to wash her hands.,그녀는 손을 씻으려고 수도꼭지를 틀었습니다.,polysemy_split,(수도꼭지),tap,FALSE
