lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
addict,addict,,n.|v.,중독자,He is a sugar addict.,그는 설탕 중독자예요.,normal,(중독자),,FALSE
addict,addict,,n.|v.,중독되게 하다,She got addicted to coffee.,그녀는 커피에 중독됐어요.,polysemy_split,(중독되게 하다),addict,FALSE
administer,administer,,v.,관리하다 / 투여하다,The nurse administered the medicine.,간호사가 약을 투여했어요.,normal,,,FALSE
admission,admission,,n.,입장 / 입학,She got admission to the school.,그녀는 학교에 입학했어요.,normal,,,FALSE
adolescent,adolescent,,adj.|n.,청소년의 / 청소년,My adolescent son loves music.,제 청소년 아들은 음악을 좋아해요.,normal,,,FALSE
adverse,adverse,,adj.,불리한 / 나쁜,The adverse weather stopped our trip.,나쁜 날씨가 여행을 막았어요.,normal,,,FALSE
aesthetic,aesthetic,,adj.|n.,미적인 / 미감,She has a beautiful aesthetic sense.,그녀는 아름다운 미적 감각이 있어요.,normal,,,FALSE
affection,affection,,n.,애정 / 사랑,She showed affection to her child.,그녀는 아이에게 애정을 보였어요.,normal,,,FALSE
agriculture,agriculture,,n.,농업,My grandfather worked in agriculture.,할아버지는 농업에 종사하셨어요.,normal,,,FALSE
alert,alert,,adj.|n.|v.,주의하는 / 경보,The dog is always alert.,그 개는 항상 주의를 기울여요.,normal,(주의하는/경보),,FALSE
alert,alert,,adj.|n.|v.,알리다 / 경고하다,He alerted us to the danger.,그는 우리에게 위험을 알려줬어요.,polysemy_split,(알리다),alert,FALSE
alien,alien,,adj.|n.,외국인 / 낯선,The alien food tasted strange to her.,낯선 음식이 그녀에게 이상하게 느껴졌어요.,normal,,,FALSE
alike,alike,,adj.|adv.,비슷한 / 똑같이,The two sisters look alike.,두 자매는 똑같이 생겼어요.,normal,,,FALSE
allocate,allocate,,v.,배분하다 / 할당하다,She allocated time for each task.,그녀는 각 일에 시간을 배분했어요.,normal,,,FALSE
alternate,alternate,,adj.|n.|v.,번갈아 하다 / 교대의,We alternate cooking each day.,우리는 매일 번갈아 요리해요.,normal,,,FALSE
ambassador,ambassador,,n.,대사 / 사절,She met the ambassador at dinner.,그녀는 저녁 식사에서 대사를 만났어요.,normal,,,FALSE
ambitious,ambitious,,adj.,야망 있는 / 의욕적인,The girl is very ambitious.,그 소녀는 매우 야망이 있어요.,normal,,,FALSE
analyse,analyse,,v.,분석하다,She analysed the test results carefully.,그녀는 검사 결과를 주의 깊게 분석했어요.,normal,,,FALSE
anchor,anchor,,n.|v.,닻 / 닻을 내리다,The boat dropped its anchor.,배가 닻을 내렸어요.,normal,,,FALSE
apology,apology,,n.,사과,He gave a sincere apology.,그는 진심으로 사과했어요.,normal,,,FALSE
applicant,applicant,,n.,지원자 / 신청자,She is an applicant for the job.,그녀는 그 일자리의 지원자예요.,normal,,,FALSE
approximate,approximate,,adj.|v.,대략적인 / 근접하다,"The approximate cost is 10,000 won.",대략적인 비용은 만 원이에요.,normal,,,FALSE
arrow,arrow,,n.,화살 / 화살표,Follow the arrow on the sign.,표지판의 화살표를 따라가세요.,normal,,,FALSE
artifice,artifice,,n.,교묘한 속임수 / 술책,He used artifice to win the game.,그는 술책을 써서 게임에 이겼어요.,normal,,,FALSE
aspire,aspire,,v.,열망하다 / 꿈꾸다,She aspires to be a doctor.,그녀는 의사가 되기를 열망해요.,normal,,,FALSE
assault,assault,,n.|v.,폭행 / 폭행하다,The police stopped the assault.,경찰이 폭행을 막았어요.,normal,,,FALSE
assemble,assemble,,v.,모이다 / 조립하다,The family assembled in the living room.,가족이 거실에 모였어요.,normal,,,FALSE
