lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
treat,treat,,v.,대하다 / 치료하다,The doctor treated her cold.,의사가 그녀의 감기를 치료했다.,normal,,,FALSE
loss,loss,,n.,손실 / 잃음,She felt great loss after her cat died.,고양이가 죽은 후 그녀는 큰 상실감을 느꼈다.,normal,,,FALSE
pressure,pressure,,n.,압박 / 압력,He felt pressure before the big test.,그는 중요한 시험 전에 압박을 느꼈다.,normal,,,FALSE
treatment,treatment,,n.,치료 / 대우,She finished her treatment at the hospital.,그녀는 병원에서 치료를 마쳤다.,normal,,,FALSE
supply,supply,,n.|v.,공급 / 공급하다,The store supplies fresh bread every day.,그 가게는 매일 신선한 빵을 공급한다.,normal,,,FALSE
worth,worth,,adj.,~할 가치가 있는,This book is worth reading.,이 책은 읽을 가치가 있다.,normal,,,FALSE
indicate,indicate,,v.,나타내다 / 가리키다,The sign indicates the way to the park.,그 표지판은 공원 가는 길을 가리킨다.,normal,,,FALSE
relation,relation,,n.,관계 / 친척,She has a good relation with her sister.,그녀는 언니와 좋은 관계를 맺고 있다.,normal,,,FALSE
touch,touch,,n.,접촉 / 감촉,The touch of her hand was warm.,그녀의 손의 감촉이 따뜻했다.,normal,,,FALSE
file,file,,n.,파일 / 서류,She saved the file on her computer.,그녀는 컴퓨터에 파일을 저장했다.,normal,,,FALSE
suffer,suffer,,v.,고통받다 / 겪다,He suffered from a bad headache.,그는 심한 두통으로 고통받았다.,normal,,,FALSE
deep,deep,,adv.,깊이 / 깊게,She breathed deep and felt calm.,그녀는 깊게 숨을 쉬고 차분해졌다.,normal,,,FALSE
except,except,,conj.,~을 제외하고,Everyone came except my brother.,남동생을 제외하고 모두 왔다.,function_word,,,FALSE
tend,tend,,v.,~하는 경향이 있다,She tends to wake up early.,그녀는 일찍 일어나는 경향이 있다.,normal,,,FALSE
generally,generally,,adv.,일반적으로 / 보통,She generally eats breakfast at home.,그녀는 보통 집에서 아침을 먹는다.,normal,,,FALSE
operation,operation,,n.,수술 / 운영,He had an operation on his knee.,그는 무릎 수술을 받았다.,normal,,,FALSE
normal,normal,,n.,보통 / 정상,Life returned to normal after the rain.,비가 온 후 생활이 정상으로 돌아왔다.,normal,,,FALSE
push,push,,n.,밀기 / 노력,She gave the door a push and it opened.,그녀가 문을 밀자 문이 열렸다.,normal,,,FALSE
doubt,doubt,,n.|v.,의심 / 의심하다,He had no doubt she was telling the truth.,그는 그녀가 진실을 말하고 있다는 것을 의심하지 않았다.,normal,,,FALSE
theory,theory,,n.,이론 / 학설,The teacher explained a simple theory.,선생님이 간단한 이론을 설명했다.,normal,,,FALSE
reference,reference,,n.,참고 / 언급,She used the book as a reference.,그녀는 그 책을 참고 자료로 사용했다.,normal,,,FALSE
application,application,,n.,지원 / 신청,She sent her application to the school.,그녀는 학교에 지원서를 보냈다.,normal,,,FALSE
obviously,obviously,,adv.,분명히 / 확실히,She was obviously very happy.,그녀는 분명히 매우 행복했다.,normal,,,FALSE
