lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
imaginary,imaginary,,adj.,상상 속의 / 가상의,She has an imaginary friend.,그녀는 상상 속의 친구가 있어요.,normal,,,FALSE
incredibly,incredibly,,adv.,믿을 수 없을 만큼 / 매우,The food was incredibly good.,음식이 믿을 수 없을 만큼 맛있었어요.,normal,,,FALSE
indirect,indirect,,adj.,간접적인,She gave an indirect answer.,그녀는 간접적인 대답을 했어요.,normal,,,FALSE
indoor,indoor,,adj.,실내의,We played indoor games today.,우리는 오늘 실내 게임을 했어요.,normal,,,FALSE
indoors,indoors,,adv.,실내에서 / 안으로,We stayed indoors because of rain.,비 때문에 우리는 실내에 있었어요.,normal,,,FALSE
injured,injured,,adj.,다친 / 부상을 입은,The boy was injured in the game.,그 소년은 경기 중에 다쳤어요.,normal,,,FALSE
involved,involved,,adj.,관련된 / 참여한,She was involved in the project.,그녀는 그 프로젝트에 참여했어요.,normal,,,FALSE
keyboard,keyboard,,n.,키보드 / 건반,She typed on the keyboard slowly.,그녀는 키보드를 천천히 쳤어요.,normal,,,FALSE
killing,killing,,n.,살인 / 죽임,The killing was reported on the news.,그 살인 사건이 뉴스에 보도됐어요.,normal,,,FALSE
latest,latest,,adj.,최신의 / 가장 최근의,She bought the latest phone.,그녀는 최신 휴대폰을 샀어요.,normal,,,FALSE
leading,leading,,adj.,주요한 / 선두의,He is a leading doctor in Korea.,그는 한국의 주요 의사예요.,normal,,,FALSE
living,living,,adj.|n.,살아 있는,She is the only living relative.,그녀는 유일하게 살아 있는 친척이에요.,polysemy_split,(살아 있는),living,FALSE
living,living,,adj.|n.,생계 / 생활,He works hard for a living.,그는 생계를 위해 열심히 일해요.,polysemy_split,(생계),living,FALSE
located,located,,adj.,위치한,The school is located near the park.,그 학교는 공원 근처에 위치해 있어요.,normal,,,FALSE
lonely,lonely,,adj.,외로운,She felt lonely at home.,그녀는 집에서 외로움을 느꼈어요.,normal,,,FALSE
marketing,marketing,,n.,마케팅 / 홍보,She works in marketing.,그녀는 마케팅 분야에서 일해요.,normal,,,FALSE
old-fashioned,old-fashioned,,adj.,구식의 / 유행이 지난,She wears old-fashioned clothes.,그녀는 구식 옷을 입어요.,normal,,,FALSE
organized,organized,,adj.,정리된 / 체계적인,Her desk is very organized.,그녀의 책상은 매우 정리되어 있어요.,normal,,,FALSE
organizer,organizer,,n.,주최자 / 정리함,She is the organizer of the event.,그녀는 그 행사의 주최자예요.,normal,,,FALSE
ours,ours,,pron.,우리 것,This house is ours.,이 집은 우리 것이에요.,function_word,,,FALSE
outdoor,outdoor,,adj.,야외의,We had an outdoor picnic today.,우리는 오늘 야외 소풍을 했어요.,normal,,,FALSE
outdoors,outdoors,,adv.,야외에서 / 밖에서,The children played outdoors all day.,아이들은 하루 종일 야외에서 놀았어요.,normal,,,FALSE
painful,painful,,adj.,고통스러운 / 아픈,Her leg was very painful.,그녀의 다리가 매우 아팠어요.,normal,,,FALSE
photographer,photographer,,n.,사진작가,He is a famous photographer.,그는 유명한 사진작가예요.,normal,,,FALSE
photography,photography,,n.,사진 촬영 / 사진술,She loves photography as a hobby.,그녀는 취미로 사진 촬영을 좋아해요.,normal,,,FALSE
planning,planning,,n.,계획 / 기획,Good planning saves time.,좋은 계획은 시간을 절약해줘요.,normal,,,FALSE
poisonous,poisonous,,adj.,독이 있는 / 유독한,That plant is poisonous.,저 식물은 독이 있어요.,normal,,,FALSE
prayer,prayer,,n.,기도,She said a prayer before bed.,그녀는 자기 전에 기도를 했어요.,normal,,,FALSE
prediction,prediction,,n.,예측 / 예언,His prediction was correct.,그의 예측이 맞았어요.,normal,,,FALSE
prepared,prepared,,adj.,준비된,She was prepared for the test.,그녀는 시험을 위해 준비되어 있었어요.,normal,,,FALSE
princess,princess,,n.,공주,The girl wants to be a princess.,그 소녀는 공주가 되고 싶어해요.,normal,,,FALSE
printing,printing,,n.,인쇄 / 출력,The printing took a few minutes.,인쇄하는 데 몇 분이 걸렸어요.,normal,,,FALSE
punishment,punishment,,n.,벌 / 처벌,The punishment was too hard.,그 처벌은 너무 가혹했어요.,normal,,,FALSE
qualified,qualified,,adj.,자격이 있는 / 적합한,She is qualified for the job.,그녀는 그 일에 자격이 있어요.,normal,,,FALSE
quotation,quotation,,n.,인용구 / 견적,He read a quotation from the book.,그는 책에서 인용구를 읽었어요.,normal,,,FALSE
racing,racing,,n.,경주 / 레이싱,He enjoys car racing on weekends.,그는 주말에 자동차 경주를 즐겨요.,normal,,,FALSE
related,related,,adj.,관련된 / 연관된,The two problems are related.,두 가지 문제는 서로 관련이 있어요.,normal,,,FALSE
relaxed,relaxed,,adj.,편안한 / 느긋한,She felt relaxed after her bath.,그녀는 목욕 후에 편안함을 느꼈어요.,normal,,,FALSE
relaxing,relaxing,,adj.,편안하게 해주는 / 느긋한,A warm bath is very relaxing.,따뜻한 목욕은 매우 편안하게 해줘요.,normal,,,FALSE
repeated,repeated,,adj.,반복되는,She made repeated mistakes.,그녀는 반복되는 실수를 했어요.,normal,,,FALSE
retired,retired,,adj.,은퇴한,My father is a retired teacher.,우리 아버지는 은퇴한 선생님이에요.,normal,,,FALSE
sailor,sailor,,n.,선원 / 뱃사람,The sailor worked on a big ship.,그 선원은 큰 배에서 일했어요.,normal,,,FALSE
script,script,,n.,대본 / 원고,She read the script before the show.,그녀는 공연 전에 대본을 읽었어요.,normal,,,FALSE
setting,setting,,n.,배경 / 환경,The story has a school setting.,그 이야기는 학교를 배경으로 해요.,normal,,,FALSE
shiny,shiny,,adj.,빛나는 / 반짝이는,She wore shiny shoes today.,그녀는 오늘 반짝이는 신발을 신었어요.,normal,,,FALSE
similarity,similarity,,n.,유사점 / 비슷한 점,There is a similarity between them.,그들 사이에는 유사점이 있어요.,normal,,,FALSE
spending,spending,,n.,지출 / 소비,Her spending increased this month.,이번 달 그녀의 지출이 늘었어요.,normal,,,FALSE
spicy,spicy,,adj.,매운 / 향신료가 강한,The soup was too spicy for me.,그 국은 저에게 너무 매웠어요.,normal,,,FALSE
spoken,spoken,,adj.,말로 하는 / 구어의,Spoken English is different from written.,구어 영어는 문어와 달라요.,normal,,,FALSE
stadium,stadium,,n.,경기장 / 스타디움,We watched the game at the stadium.,우리는 경기장에서 경기를 관람했어요.,normal,,,FALSE
talented,talented,,adj.,재능 있는,She is a very talented singer.,그녀는 매우 재능 있는 가수예요.,normal,,,FALSE
theirs,theirs,,pron.,그들의 것,That car is theirs.,저 자동차는 그들의 것이에요.,function_word,,,FALSE
ton,ton,,n.,톤(무게 단위) / 엄청난 양,She has a ton of work today.,그녀는 오늘 엄청난 양의 일이 있어요.,normal,,,FALSE
trainer,trainer,,n.,트레이너 / 훈련사,My trainer helps me exercise well.,제 트레이너는 제가 잘 운동하도록 도와줘요.,normal,,,FALSE
translation,translation,,n.,번역 / 통역,She did the translation of the book.,그녀가 그 책의 번역을 했어요.,normal,,,FALSE
uncomfortable,uncomfortable,,adj.,불편한,The chair was uncomfortable to sit on.,그 의자는 앉기에 불편했어요.,normal,,,FALSE
underwear,underwear,,n.,속옷,She bought new underwear at the store.,그녀는 가게에서 새 속옷을 샀어요.,normal,,,FALSE
unemployed,unemployed,,adj.,실직한 / 백수인,He has been unemployed for a month.,그는 한 달째 실직 상태예요.,normal,,,FALSE
unfair,unfair,,adj.,불공평한,The result was unfair to her.,그 결과는 그녀에게 불공평했어요.,normal,,,FALSE
unnecessary,unnecessary,,adj.,불필요한,Do not buy unnecessary things.,불필요한 물건은 사지 마세요.,normal,,,FALSE
unpleasant,unpleasant,,adj.,불쾌한 / 기분 나쁜,The smell in the room was unpleasant.,방 안의 냄새가 불쾌했어요.,normal,,,FALSE
