lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
noon,noon,,n.,정오 / 낮 12시,We eat lunch at noon.,우리는 정오에 점심을 먹어요.,normal,,,FALSE
oak,oak,,n.,참나무 / 떡갈나무,There is a big oak in the garden.,정원에 큰 참나무가 있어요.,normal,,,FALSE
parade,parade,,n.|v.,퍼레이드 / 행진하다,The children paraded down the street.,아이들이 거리를 행진했어요.,normal,,,FALSE
pardon,pardon,,exclam.|n.|v.,용서 / 용서하다,She asked him to pardon her mistake.,그녀는 자신의 실수를 용서해 달라고 했어요.,normal,,,FALSE
pear,pear,,n.,배 (과일),She ate a sweet pear after lunch.,그녀는 점심 후에 달콤한 배를 먹었어요.,normal,,,FALSE
picnic,picnic,,n.|v.,소풍 / 소풍 가다,We had a picnic in the park.,우리는 공원에서 소풍을 즐겼어요.,normal,,,FALSE
pie,pie,,n.,파이 (음식),She baked an apple pie for us.,그녀는 우리를 위해 사과파이를 구웠어요.,normal,,,FALSE
pine,pine,,n.|v.,소나무,There are tall pine trees on the hill.,언덕에 키 큰 소나무들이 있어요.,polysemy_split,(소나무),,FALSE
pine,pine,,n.|v.,몹시 그리워하다,She pines for her family every day.,그녀는 매일 가족을 몹시 그리워해요.,polysemy_split,(그리워하다),pine,FALSE
pity,pity,,n.|v.,안타까움 / 불쌍히 여기다,She felt pity for the lost dog.,그녀는 길 잃은 개가 불쌍했어요.,normal,,,FALSE
pole,pole,,n.,막대기 / 기둥,He put a flag on the pole.,그는 기둥에 깃발을 달았어요.,normal,,,FALSE
pollute,pollute,,v.,오염시키다,Factories pollute the river water.,공장들이 강물을 오염시켜요.,normal,,,FALSE
pork,pork,,n.,돼지고기,She cooked pork for dinner.,그녀는 저녁으로 돼지고기를 요리했어요.,normal,,,FALSE
probable,probable,,adj.,있을 것 같은 / 가능성 있는,Rain is probable this afternoon.,오늘 오후에 비가 올 것 같아요.,normal,,,FALSE
punch,punch,,n.|v.,주먹으로 치다 / 한 대 치기,The boy punched the pillow hard.,그 남자아이는 베개를 세게 쳤어요.,normal,,,FALSE
puzzle,puzzle,,n.|v.,퍼즐 / 어리둥절하게 하다,She did a puzzle with her daughter.,그녀는 딸과 함께 퍼즐을 맞췄어요.,polysemy_split,(퍼즐),,FALSE
puzzle,puzzle,,n.|v.,어리둥절하게 하다 / 당황시키다,His answer puzzled the teacher.,그의 대답이 선생님을 어리둥절하게 했어요.,polysemy_split,(당황시키다),puzzle,FALSE
