lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
ridicule,ridicule,,n.|v.,조롱 / 비웃다,The other kids ridiculed his old shoes.,다른 아이들이 그의 낡은 신발을 비웃었다.,normal,,,FALSE
ridiculous,ridiculous,,adj.,우스운 / 말도 안 되는,That idea sounds ridiculous to me.,그 생각은 나에게 말도 안 되게 들린다.,normal,,,FALSE
riot,riot,,n.|v.,폭동 / 폭동을 일으키다,People rioted in the streets that night.,그날 밤 사람들이 거리에서 폭동을 일으켰다.,normal,,,FALSE
roar,roar,,n.|v.,울부짖음 / 으르렁거리다,The lion roared loudly in the forest.,사자가 숲속에서 크게 으르렁거렸다.,normal,,,FALSE
roast,roast,,adj.|n.|v.,구운 / 굽다,She roasted chicken for dinner.,그녀는 저녁으로 닭을 구웠다.,normal,,,FALSE
rod,rod,,n.,막대기 / 낚싯대,He held a fishing rod by the river.,그는 강가에서 낚싯대를 들고 있었다.,normal,,,FALSE
rot,rot,,n.|v.,썩음 / 썩다,The old wood began to rot in the rain.,낡은 나무가 빗속에서 썩기 시작했다.,normal,,,FALSE
rumor,rumor,rumour,n.|v.,소문 / 소문을 퍼뜨리다,There is a rumor that she is moving away.,그녀가 이사를 간다는 소문이 있다.,normal,,,FALSE
sack,sack,,n.|v.,자루 / 해고하다,He was sacked from his job last week.,그는 지난주에 직장에서 해고되었다.,polysemy_split,(해고하다),sack,FALSE
sack,sack,,n.|v.,자루,She carried potatoes in a big sack.,그녀는 큰 자루에 감자를 담아 날랐다.,polysemy_split,(자루),sack,FALSE
sacred,sacred,,adj.,신성한 / 거룩한,This place is sacred to many people.,이곳은 많은 사람들에게 신성한 장소이다.,normal,,,FALSE
sacrifice,sacrifice,,n.|v.,희생 / 희생하다,She sacrificed her time for her children.,그녀는 아이들을 위해 자신의 시간을 희생했다.,normal,,,FALSE
scandal,scandal,,n.,스캔들 / 추문,The scandal shocked everyone in town.,그 추문은 마을의 모든 사람을 충격에 빠뜨렸다.,normal,,,FALSE
scarce,scarce,,adj.,부족한 / 드문,Clean water is scarce in that village.,그 마을에서는 깨끗한 물이 부족하다.,normal,,,FALSE
scatter,scatter,,v.,흩뿌리다 / 흩어지다,The wind scattered the leaves everywhere.,바람이 낙엽을 사방으로 흩뿌렸다.,normal,,,FALSE
scramble,scramble,,n.|v.,기어오르다 / 뒤섞다,The kids scrambled up the small hill.,아이들이 작은 언덕 위로 기어올랐다.,normal,,,FALSE
screw,screw,,n.|v.,나사 / 나사로 조이다,He screwed the shelf tightly to the wall.,그는 선반을 벽에 단단히 나사로 고정했다.,normal,,,FALSE
