lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
die,die,,v.,죽다,The old cat died yesterday.,늙은 고양이가 어제 죽었어요.,normal,,,FALSE
cut,cut,,v.,자르다,She cut the bread for lunch.,그녀는 점심을 위해 빵을 잘랐어요.,normal,,,FALSE
describe,describe,,v.,설명하다 / 묘사하다,She described her new house.,그녀는 자신의 새 집을 묘사했어요.,normal,,,FALSE
strong,strong,,adj.,강한 / 튼튼한,He is a strong man.,그는 튼튼한 남자예요.,normal,,,FALSE
girl,girl,,n.,소녀 / 여자아이,The girl likes reading books.,그 소녀는 책 읽기를 좋아해요.,normal,,,FALSE
maybe,maybe,,adv.,아마도 / 어쩌면,Maybe she is at home now.,아마 그녀는 지금 집에 있을 거예요.,normal,,,FALSE
else,else,,adv.,그 밖에 / 다른,Do you want anything else?,다른 것이 필요하세요?,function_word,,,FALSE
join,join,,v.,참여하다 / 함께하다,She joined a cooking class.,그녀는 요리 수업에 참여했어요.,normal,,,FALSE
difficult,difficult,,adj.,어려운,The test was very difficult.,그 시험은 매우 어려웠어요.,normal,,,FALSE
please,please,,exclam.,제발 / 부탁드려요,Please sit down here.,여기 앉아 주세요.,normal,,,FALSE
detail,detail,,n.,세부 사항 / 자세한 내용,She told me every detail.,그녀는 모든 세부 사항을 말해줬어요.,normal,,,FALSE
difference,difference,,n.,차이 / 다른 점,There is a big difference.,큰 차이가 있어요.,normal,,,FALSE
action,action,,n.,행동 / 행위,"We need action, not words.",우리는 말이 아니라 행동이 필요해요.,normal,,,FALSE
health,health,,n.,건강,Her health is very good.,그녀의 건강은 매우 좋아요.,normal,,,FALSE
eat,eat,,v.,먹다,We eat breakfast together.,우리는 함께 아침을 먹어요.,normal,,,FALSE
TRUE,TRUE,,adj.,사실인 / 진짜의,The story is true.,그 이야기는 사실이에요.,normal,,,FALSE
phone,phone,,n.|v.,전화기,She left her phone at home.,그녀는 집에 전화기를 두고 왔어요.,polysemy_split,(전화기),phone,FALSE
phone,phone,,n.|v.,전화하다,He phoned his mother today.,그는 오늘 어머니에게 전화했어요.,polysemy_split,(전화하다),phone,FALSE
draw,draw,,v.,그리다,The girl drew a flower.,그 소녀는 꽃을 그렸어요.,normal,,,FALSE
white,white,,adj.|n.,흰색의 / 흰색,She wore a white dress.,그녀는 흰 드레스를 입었어요.,normal,,,FALSE
date,date,,n.,날짜 / 데이트,What is today's date?,오늘 날짜가 어떻게 돼요?,normal,,,FALSE
practice,practice,practise,n.|v.,연습 / 연습하다,She practices piano every day.,그녀는 매일 피아노를 연습해요.,normal,,,FALSE
model,model,,n.,모델 / 모형,He bought a model car.,그는 모형 자동차를 샀어요.,normal,,,FALSE
