lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
still,still,,adv.,아직도 / 여전히,She is still sleeping.,그녀는 아직도 자고 있어요.,normal,,,FALSE
problem,problem,,n.,문제 / 어려움,We have a big problem.,우리에게 큰 문제가 생겼어요.,normal,,,FALSE
write,write,,v.,쓰다 / 적다,She writes a letter every week.,그녀는 매주 편지를 써요.,normal,,,FALSE
same,same,,adj.|adv.|pron.,같은 / 똑같이,We go to the same school.,우리는 같은 학교에 다녀요.,normal,,,FALSE
lot,lot,,adv.|det.|pron.,많이 / 많은,She drinks a lot of water.,그녀는 물을 많이 마셔요.,normal,,,FALSE
great,great,,adj.,훌륭한 / 멋진,She is a great cook.,그녀는 훌륭한 요리사예요.,normal,,,FALSE
try,try,,v.,해보다 / 노력하다,He tries to wake up early.,그는 일찍 일어나려고 노력해요.,normal,,,FALSE
leave,leave,,v.,떠나다 / 남겨두다,She leaves home at seven.,그녀는 일곱 시에 집을 나서요.,normal,,,FALSE
number,number,,n.,숫자 / 번호,What is your phone number?,전화번호가 어떻게 되세요?,normal,,,FALSE
both,both,,det.|pron.,둘 다 / 양쪽 모두,Both children are very happy.,두 아이 모두 매우 행복해요.,function_word,,,FALSE
own,own,,adj.|pron.,자신의 / 자기 것,She has her own room.,그녀는 자신만의 방이 있어요.,normal,,,FALSE
part,part,,n.,부분 / 일부,He ate part of the cake.,그는 케이크의 일부를 먹었어요.,normal,,,FALSE
point,point,,n.,요점 / 점수,The girl got ten points.,그 소녀는 10점을 받았어요.,polysemy_split,(점수),point,FALSE
point,point,,n.,요점 / 핵심,I don't understand your point.,당신의 요점을 이해하지 못하겠어요.,polysemy_split,(요점),point,FALSE
little,little,,adj.|det.|pron.,작은 / 조금,She drinks a little milk.,그녀는 우유를 조금 마셔요.,normal,,,FALSE
help,help,,n.|v.,돕다 / 도움,She helps her mom every day.,그녀는 매일 엄마를 도와요.,normal,,,FALSE
ask,ask,,v.,묻다 / 부탁하다,He asks a question in class.,그는 수업 시간에 질문을 해요.,normal,,,FALSE
meet,meet,,v.,만나다,We meet at the park.,우리는 공원에서 만나요.,normal,,,FALSE
start,start,,v.,시작하다,School starts at nine.,학교는 아홉 시에 시작해요.,normal,,,FALSE
