lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
horizon,horizon,,n.,지평선 / 수평선,The sun sets below the horizon.,태양이 지평선 아래로 집니다.,normal,,,FALSE
hostile,hostile,,adj.,적대적인 / 냉랭한,He gave me a hostile look.,그는 나에게 적대적인 눈빛을 보냈습니다.,normal,,,FALSE
hut,hut,,n.,오두막 / 작은 집,They slept in a small hut.,그들은 작은 오두막에서 잠을 잤습니다.,normal,,,FALSE
identical,identical,,adj.,똑같은 / 동일한,The twins wore identical dresses.,쌍둥이가 똑같은 드레스를 입었습니다.,normal,,,FALSE
ideology,ideology,,n.,이념 / 사상,They share the same ideology.,그들은 같은 이념을 공유합니다.,normal,,,FALSE
illusion,illusion,,n.,착각 / 환상,The mirror created an illusion of space.,거울이 공간의 착각을 만들어냈습니다.,normal,,,FALSE
imitate,imitate,,v.,흉내 내다 / 모방하다,The boy imitated his father's walk.,그 소년은 아버지의 걸음걸이를 흉내 냈습니다.,normal,,,FALSE
immense,immense,,adj.,엄청난 / 거대한,She felt immense joy at the news.,그녀는 그 소식에 엄청난 기쁨을 느꼈습니다.,normal,,,FALSE
immigrate,immigrate,,v.,이민 오다,Her family immigrated to Canada.,그녀의 가족은 캐나다로 이민을 왔습니다.,normal,,,FALSE
immune,immune,,adj.,면역이 있는 / 영향을 받지 않는,She is immune to that disease.,그녀는 그 병에 면역이 있습니다.,normal,,,FALSE
imperial,imperial,,adj.,제국의 / 황제의,We visited the imperial palace.,우리는 황제의 궁전을 방문했습니다.,normal,,,FALSE
incline,incline,,n.|v.,경사면,The road has a steep incline.,그 도로는 경사가 가파릅니다.,polysemy_split,(경사면),incline,FALSE
incline,incline,,n.|v.,마음이 기울다 / ~하고 싶어지다,I incline to agree with her.,나는 그녀의 말에 동의하고 싶어집니다.,polysemy_split,(마음이 기울다),incline,FALSE
induce,induce,,v.,유도하다 / 유발하다,The doctor induced sleep with medicine.,의사가 약으로 수면을 유도했습니다.,normal,,,FALSE
inevitable,inevitable,,adj.,피할 수 없는 / 불가피한,Change is inevitable in life.,삶에서 변화는 피할 수 없습니다.,normal,,,FALSE
infect,infect,,v.,감염시키다,The cold infected the whole family.,감기가 온 가족을 감염시켰습니다.,normal,,,FALSE
infer,infer,,v.,추론하다 / 추측하다,She inferred that he was tired.,그녀는 그가 피곤하다고 추론했습니다.,normal,,,FALSE
inference,inference,,n.,추론 / 결론,His inference was correct.,그의 추론은 맞았습니다.,normal,,,FALSE
inflate,inflate,,v.,부풀리다 / 팽창시키다,He inflated the balloon for the party.,그는 파티를 위해 풍선을 부풀렸습니다.,normal,,,FALSE
inhabit,inhabit,,v.,살다 / 거주하다,Many birds inhabit this forest.,많은 새들이 이 숲에 살고 있습니다.,normal,,,FALSE
inherent,inherent,,adj.,타고난 / 본래 갖춘,She has an inherent talent for music.,그녀는 음악에 타고난 재능이 있습니다.,normal,,,FALSE
inhibit,inhibit,,v.,억제하다 / 방해하다,Fear inhibited her from speaking.,두려움이 그녀가 말하는 것을 억제했습니다.,normal,,,FALSE
inject,inject,,v.,주사하다 / 주입하다,The nurse injected medicine into his arm.,간호사가 그의 팔에 약을 주사했습니다.,normal,,,FALSE
inn,inn,,n.,여관 / 작은 호텔,We stayed at a small inn.,우리는 작은 여관에 묵었습니다.,normal,,,FALSE
