lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
expenditure,expenditure,,n.,지출 / 비용,The family reduced their expenditure on food.,그 가족은 식비 지출을 줄였다.,normal,,,FALSE
gear,gear,,n.|v.,장비 / 맞추다,She packed her camping gear.,그녀는 캠핑 장비를 챙겼다.,normal,,,FALSE
scholar,scholar,,n.,학자 / 장학생,The scholar read many old books.,그 학자는 오래된 책을 많이 읽었다.,normal,,,FALSE
psychological,psychological,,adj.,심리적인,She felt psychological stress at work.,그녀는 직장에서 심리적 스트레스를 느꼈다.,normal,,,FALSE
dramatically,dramatically,,adv.,극적으로 / 크게,The price dropped dramatically last year.,가격이 작년에 크게 떨어졌다.,normal,,,FALSE
stake,stake,,n.|v.,지분 / 말뚝,He has a big stake in that company.,그는 그 회사에 큰 지분을 가지고 있다.,polysemy_split,"(지분, 이해관계)",,FALSE
stake,stake,,n.|v.,말뚝을 박다,He staked the tent in the ground.,그는 땅에 텐트 말뚝을 박았다.,polysemy_split,(말뚝/박다),stake,FALSE
partnership,partnership,,n.,협력 관계 / 동업,The two shops formed a partnership.,두 가게가 동업 관계를 맺었다.,normal,,,FALSE
participation,participation,,n.,참여 / 참가,Her participation made the event fun.,그녀의 참여가 행사를 즐겁게 만들었다.,normal,,,FALSE
penalty,penalty,,n.,벌칙 / 처벌,He paid a penalty for being late.,그는 늦은 것에 대해 벌금을 냈다.,normal,,,FALSE
chamber,chamber,,n.,방 / 의회,The judge entered the chamber.,판사가 방으로 들어갔다.,normal,,,FALSE
evolve,evolve,,v.,진화하다 / 발전하다,The city evolved into a big town.,그 도시는 대도시로 발전했다.,normal,,,FALSE
sake,sake,,n.,~을 위해서,She did it for her family's sake.,그녀는 가족을 위해 그것을 했다.,normal,,,FALSE
boost,boost,,n.|v.,높이다 / 힘을 북돋우다,A warm drink boosted her energy.,따뜻한 음료가 그녀의 기운을 북돋워 주었다.,normal,,,FALSE
abortion,abortion,,n.,낙태 / 임신 중절,They discussed the abortion law.,그들은 낙태 관련 법률에 대해 이야기했다.,normal,,,FALSE
curious,curious,,adj.,궁금한 / 호기심 많은,The girl was curious about the box.,그 소녀는 상자에 대해 궁금해했다.,normal,,,FALSE
boom,boom,,n.|v.,호황 / 붐,There was a big boom in house prices.,집값이 크게 오르는 호황이 있었다.,normal,,,FALSE
democratic,democratic,,adj.,민주적인,They held a democratic vote at school.,그들은 학교에서 민주적인 투표를 했다.,normal,,,FALSE
maintenance,maintenance,,n.,유지 / 관리,The maintenance of the garden takes time.,정원 관리에는 시간이 걸린다.,normal,,,FALSE
consequently,consequently,,adv.,그 결과로 / 따라서,"She missed the bus; consequently, she was late.",그녀는 버스를 놓쳤다. 그 결과 늦고 말았다.,normal,,,FALSE
strengthen,strengthen,,v.,강화하다 / 튼튼하게 하다,Exercise helps strengthen your body.,운동은 몸을 튼튼하게 하는 데 도움이 된다.,normal,,,FALSE
whilst,whilst,,conj.,~하는 동안 / ~인 반면,She read whilst he cooked dinner.,그가 저녁을 요리하는 동안 그녀는 책을 읽었다.,function_word,,,FALSE
constraint,constraint,,n.,제약 / 제한,Time is a big constraint for her.,시간은 그녀에게 큰 제약이다.,normal,,,FALSE
bin,bin,,n.,쓰레기통 / 통,She threw the paper in the bin.,그녀는 종이를 쓰레기통에 버렸다.,normal,,,FALSE
undergo,undergo,,v.,겪다 / 받다,He underwent an operation last week.,그는 지난주에 수술을 받았다.,normal,,,FALSE
