lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
magnet,magnet,,n.,자석,The magnet picked up the pin.,자석이 핀을 집어 올렸다.,normal,,,FALSE
magnificent,magnificent,,adj.,훌륭한 / 멋진,The view from the hill is magnificent.,언덕에서 보이는 경치가 훌륭하다.,normal,,,FALSE
manifest,manifest,,adj.|v.,분명한 / 나타내다,She manifested her feelings with a smile.,그녀는 미소로 자신의 감정을 나타냈다.,polysemy_split,(분명한),manifest,FALSE
manifest,manifest,,adj.|v.,나타내다 / 드러내다,His joy manifested in his laughter.,그의 기쁨이 웃음으로 드러났다.,polysemy_split,(나타내다),manifest,FALSE
manipulate,manipulate,,v.,조종하다 / 다루다,He manipulated the toy with his hands.,그는 손으로 장난감을 다루었다.,normal,,,FALSE
marine,marine,,adj.|n.,바다의 / 해병대원,She loves marine animals like fish.,그녀는 물고기 같은 바다 동물을 좋아한다.,polysemy_split,(바다의),marine,FALSE
marine,marine,,adj.|n.,해병대원,My brother is a marine.,내 남동생은 해병대원이다.,polysemy_split,(해병대원),marine,FALSE
mechanic,mechanic,,n.,정비사 / 수리공,The mechanic fixed our car quickly.,정비사가 우리 차를 빨리 고쳤다.,normal,,,FALSE
mediate,mediate,,v.,중재하다,She helped mediate the fight between them.,그녀는 그들 사이의 싸움을 중재하는 것을 도왔다.,normal,,,FALSE
medieval,medieval,,adj.,중세의,We saw a medieval castle in Europe.,우리는 유럽에서 중세 성을 보았다.,normal,,,FALSE
merchant,merchant,,adj.|n.,상인 / 무역상,The merchant sold cloth at the market.,상인은 시장에서 천을 팔았다.,normal,,,FALSE
merge,merge,,v.,합치다 / 합병하다,The two roads merge near the school.,두 도로는 학교 근처에서 합쳐진다.,normal,,,FALSE
merit,merit,,n.|v.,장점 / 가치가 있다,Her hard work has great merit.,그녀의 노력은 큰 가치가 있다.,normal,,,FALSE
metropolitan,metropolitan,,adj.,대도시의,She lives in a metropolitan area.,그녀는 대도시 지역에 살고 있다.,normal,,,FALSE
microphone,microphone,,n.,마이크,She spoke into the microphone clearly.,그녀는 마이크에 대고 명확하게 말했다.,normal,,,FALSE
migrant,migrant,,n.,이주자 / 이민자,The migrant found work in the city.,이주자는 도시에서 일자리를 찾았다.,normal,,,FALSE
migrate,migrate,,v.,이주하다 / 이동하다,Birds migrate south in winter.,새들은 겨울에 남쪽으로 이동한다.,normal,,,FALSE
miner,miner,,n.,광부,The miner worked deep underground.,광부는 땅속 깊이서 일했다.,normal,,,FALSE
minimal,minimal,,adj.,최소한의 / 아주 적은,She uses minimal salt in her cooking.,그녀는 요리에 소금을 아주 적게 사용한다.,normal,,,FALSE
ministry,ministry,,n.,부처 / 성직,He works at the Ministry of Education.,그는 교육부에서 일한다.,normal,,,FALSE
miracle,miracle,,n.,기적,The baby's recovery was a miracle.,아기의 회복은 기적이었다.,normal,,,FALSE
missile,missile,,n.,미사일,The soldier launched a missile.,군인이 미사일을 발사했다.,normal,,,FALSE
mock,mock,,adj.|n.|v.,흉내 내다 / 가짜의,The boys mocked him in the playground.,남자아이들이 운동장에서 그를 흉내 내며 놀렸다.,polysemy_split,(놀리다),mock,FALSE
mock,mock,,adj.|n.|v.,모의의 / 가짜의,We did a mock test before the exam.,우리는 시험 전에 모의시험을 봤다.,polysemy_split,(모의의),mock,FALSE
modest,modest,,adj.,겸손한 / 수수한,She is modest about her success.,그녀는 자신의 성공에 대해 겸손하다.,normal,,,FALSE
moist,moist,,adj.,촉촉한 / 습기 있는,The cake is soft and moist.,케이크가 부드럽고 촉촉하다.,normal,,,FALSE
moisture,moisture,,n.,수분 / 습기,The plant needs moisture to grow.,식물은 자라기 위해 수분이 필요하다.,normal,,,FALSE
molecule,molecule,,n.,분자,Water is made of tiny molecules.,물은 작은 분자로 이루어져 있다.,normal,,,FALSE
mommy,mommy,,n.,엄마,The girl called out for her mommy.,여자아이가 엄마를 불렀다.,normal,,,FALSE
monster,monster,,n.,괴물,The boy dreamed of a big monster.,남자아이는 커다란 괴물 꿈을 꿨다.,normal,,,FALSE
monument,monument,,n.,기념비 / 기념물,We visited a war monument in the park.,우리는 공원에 있는 전쟁 기념비를 방문했다.,normal,,,FALSE
mortal,mortal,,adj.|n.,죽을 수밖에 없는 / 치명적인,All people are mortal.,모든 사람은 죽을 수밖에 없다.,normal,,,FALSE
