lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
afterward,afterward,,adv.,나중에 / 그 후에,We had dinner and went home afterward.,우리는 저녁을 먹고 나중에 집에 갔어요.,normal,,,FALSE
armed,armed,,adj.,무장한,The armed man stood at the door.,무장한 남자가 문 앞에 서 있었어요.,normal,,,FALSE
arms,arms,,n.,무기 / 팔,She held the baby in her arms.,그녀는 팔로 아기를 안았어요.,polysemy_split,(팔),,FALSE
arms,arms,,n.,무기,The soldiers carried arms.,군인들은 무기를 들었어요.,polysemy_split,(무기),arms,FALSE
artistic,artistic,,adj.,예술적인,She has a very artistic style.,그녀는 매우 예술적인 스타일을 가지고 있어요.,normal,,,FALSE
associated,associated,,adj.,관련된,He has problems associated with stress.,그는 스트레스와 관련된 문제가 있어요.,normal,,,FALSE
attorney,attorney,,n.,변호사,She called her attorney for help.,그녀는 도움을 받으려고 변호사에게 전화했어요.,normal,,,FALSE
bacteria,bacteria,,n.,세균 / 박테리아,Wash your hands to remove bacteria.,세균을 없애려면 손을 씻으세요.,normal,,,FALSE
being,being,,n.,존재 / 생명체,A human being needs food and water.,인간은 음식과 물이 필요해요.,normal,,,FALSE
bent,bent,,adj.,구부러진,The old man walked with bent knees.,노인은 무릎을 구부린 채 걸었어요.,normal,,,FALSE
bullet,bullet,,n.,총알,The bullet hit the wall.,총알이 벽에 맞았어요.,normal,,,FALSE
commonly,commonly,,adv.,흔히 / 보통,This bird is commonly seen in the park.,이 새는 공원에서 흔히 볼 수 있어요.,normal,,,FALSE
complicated,complicated,,adj.,복잡한,This recipe is too complicated for me.,이 요리법은 저에게 너무 복잡해요.,normal,,,FALSE
concerned,concerned,,adj.,걱정하는 / 관련된,She is concerned about her mother's health.,그녀는 어머니의 건강을 걱정하고 있어요.,normal,,,FALSE
confusing,confusing,,adj.,혼란스러운,The map was very confusing.,그 지도는 매우 혼란스러웠어요.,normal,,,FALSE
convinced,convinced,,adj.,확신하는,I am convinced she is right.,나는 그녀가 옳다고 확신해요.,normal,,,FALSE
curved,curved,,adj.,곡선의 / 구부러진,The road has a curved shape.,그 길은 곡선 모양이에요.,normal,,,FALSE
decoration,decoration,,n.,장식 / 꾸밈,She put up holiday decorations at home.,그녀는 집에 명절 장식을 달았어요.,normal,,,FALSE
deliberately,deliberately,,adv.,일부러 / 고의로,He deliberately broke the rule.,그는 일부러 규칙을 어겼어요.,normal,,,FALSE
depressed,depressed,,adj.,우울한,She felt depressed on rainy days.,그녀는 비 오는 날에 우울함을 느꼈어요.,normal,,,FALSE
depressing,depressing,,adj.,우울하게 만드는,The news was very depressing.,그 소식은 매우 우울하게 만들었어요.,normal,,,FALSE
detailed,detailed,,adj.,상세한 / 자세한,She gave a detailed plan for the trip.,그녀는 여행에 대한 자세한 계획을 세웠어요.,normal,,,FALSE
dishonest,dishonest,,adj.,정직하지 않은 / 거짓말하는,It is wrong to be dishonest.,정직하지 않은 것은 나쁜 일이에요.,normal,,,FALSE
distribution,distribution,,n.,배분 / 분배,The distribution of food took a long time.,음식 배분에는 시간이 오래 걸렸어요.,normal,,,FALSE
downward,downward,,adj.|adv.,아래쪽으로 / 내려가는,The ball rolled downward on the hill.,공이 언덕 아래쪽으로 굴렀어요.,normal,,,FALSE
enthusiasm,enthusiasm,,n.,열정 / 열의,She cooked with great enthusiasm.,그녀는 큰 열정으로 요리했어요.,normal,,,FALSE
exploration,exploration,,n.,탐험 / 탐구,The children enjoyed the exploration of the forest.,아이들은 숲 탐험을 즐겼어요.,normal,,,FALSE
feather,feather,,n.,깃털,The bird lost a feather from its wing.,새가 날개에서 깃털 하나를 잃었어요.,normal,,,FALSE
feedback,feedback,,n.,의견 / 평가,The teacher gave good feedback on my work.,선생님이 내 작업에 좋은 평가를 해 주셨어요.,normal,,,FALSE
finding,finding,,n.,발견 / 결과,The doctor shared the findings with us.,의사가 우리에게 검사 결과를 알려줬어요.,normal,,,FALSE
folding,folding,,adj.,접을 수 있는,She bought a folding chair for the garden.,그녀는 정원용 접이식 의자를 샀어요.,normal,,,FALSE
funding,funding,,n.,자금 / 지원금,The school needs more funding for books.,학교는 책을 위한 더 많은 자금이 필요해요.,normal,,,FALSE
genre,genre,,n.,장르 / 종류,Her favorite genre is romance.,그녀가 가장 좋아하는 장르는 로맨스예요.,normal,,,FALSE
