lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
necessary,necessary,,adj.,필요한 / 필수적인,Water is necessary for life.,물은 생명에 필수적이에요.,normal,,,FALSE
region,region,,n.,지역 / 지방,She lives in a cold region.,그녀는 추운 지역에 살아요.,normal,,,FALSE
catch,catch,,v.,잡다 / 받다,The boy caught the ball.,그 남자아이가 공을 잡았어요.,normal,,,FALSE
simple,simple,,adj.,간단한 / 단순한,The recipe is very simple.,그 요리법은 매우 간단해요.,normal,,,FALSE
average,average,,adj.|n.,평균의 / 보통의,She gets average scores at school.,그녀는 학교에서 평균 점수를 받아요.,normal,,,FALSE
character,character,,n.,성격 / (이야기 속) 인물,She has a very kind character.,그녀는 매우 친절한 성격을 가졌어요.,polysemy_split,(성격),character,FALSE
character,character,,n.,(이야기 속) 인물 / 캐릭터,My favorite character is in this book.,내가 가장 좋아하는 인물이 이 책에 있어요.,polysemy_split,(인물),character,FALSE
hit,hit,,n.|v.,치다 / 때리다,The boy hit the ball hard.,그 남자아이가 공을 세게 쳤어요.,polysemy_split,(치다),hit,FALSE
hit,hit,,n.|v.,인기 있는 것 / 히트작,That song was a big hit.,그 노래는 큰 히트작이었어요.,polysemy_split,(히트작),hit,FALSE
final,final,,n.,결승전 / 기말시험,She passed her final exam.,그녀는 기말시험을 통과했어요.,normal,,,FALSE
fit,fit,,adj.|v.,맞다 / 건강한,These shoes fit me well.,이 신발은 나에게 잘 맞아요.,normal,,,FALSE
guy,guy,,n.,남자 / 사람,He is a nice guy.,그는 좋은 사람이에요.,normal,,,FALSE
image,image,,n.,이미지 / 사진,She saved the image on her phone.,그녀는 휴대폰에 사진을 저장했어요.,normal,,,FALSE
size,size,,n.,크기 / 사이즈,What size shoes do you wear?,신발 사이즈가 어떻게 되세요?,normal,,,FALSE
behavior,behavior,behaviour,n.,행동 / 행실,The boy's behavior was very good.,그 남자아이의 행동은 매우 좋았어요.,normal,,,FALSE
population,population,,n.,인구,Our city has a large population.,우리 도시는 인구가 많아요.,normal,,,FALSE
fail,fail,,v.,실패하다 / 떨어지다,He failed the test last week.,그는 지난주 시험에서 떨어졌어요.,normal,,,FALSE
environment,environment,,n.,환경,We must protect our environment.,우리는 환경을 보호해야 해요.,normal,,,FALSE
comment,comment,,n.,의견 / 댓글,She left a kind comment online.,그녀는 온라인에 친절한 댓글을 남겼어요.,normal,,,FALSE
enter,enter,,v.,들어가다 / 입력하다,She entered the room quietly.,그녀는 조용히 방에 들어갔어요.,normal,,,FALSE
