lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
injure,injure,,v.,다치게 하다 / 부상을 입히다,She injured her leg at school.,그녀는 학교에서 다리를 다쳤어요.,normal,,,FALSE
remote,remote,,adj.,멀리 떨어진 / 외딴,He lives in a remote village.,그는 외딴 마을에 살아요.,normal,,,FALSE
throat,throat,,n.,목구멍 / 목,My throat hurts today.,오늘 목이 아파요.,normal,,,FALSE
forever,forever,,adv.,영원히,I will love you forever.,나는 영원히 당신을 사랑할 거예요.,normal,,,FALSE
reliable,reliable,,adj.,믿을 수 있는 / 신뢰할 수 있는,She is a very reliable friend.,그녀는 매우 믿을 수 있는 친구예요.,normal,,,FALSE
click,click,,n.|v.,딸깍 소리 / 클릭하다,She clicked the button on her phone.,그녀는 휴대폰의 버튼을 클릭했어요.,normal,,,FALSE
poet,poet,,n.,시인,He is a famous poet.,그는 유명한 시인이에요.,normal,,,FALSE
ceremony,ceremony,,n.,의식 / 식,We attended a wedding ceremony.,우리는 결혼식에 참석했어요.,normal,,,FALSE
mixture,mixture,,n.,혼합물 / 섞은 것,Add a mixture of sugar and salt.,설탕과 소금을 섞은 것을 넣으세요.,normal,,,FALSE
automatically,automatically,,adv.,자동으로,The door opens automatically.,문이 자동으로 열려요.,normal,,,FALSE
clause,clause,,n.,조항 / 절,Read every clause in the contract.,계약서의 모든 조항을 읽으세요.,normal,,,FALSE
fancy,fancy,,adj.,고급스러운 / 화려한,She wore a fancy dress to the party.,그녀는 파티에 화려한 드레스를 입었어요.,normal,,,FALSE
poetry,poetry,,n.,시 / 시 문학,She loves reading poetry at home.,그녀는 집에서 시 읽는 것을 좋아해요.,normal,,,FALSE
shelf,shelf,,n.,선반,The books are on the shelf.,책들이 선반 위에 있어요.,normal,,,FALSE
tail,tail,,n.,꼬리,The dog wagged its tail happily.,개가 꼬리를 신나게 흔들었어요.,normal,,,FALSE
pot,pot,,n.,냄비 / 단지,She boiled water in a big pot.,그녀는 큰 냄비에 물을 끓였어요.,normal,,,FALSE
fold,fold,,v.,접다 / 개다,He folded the letter carefully.,그는 편지를 조심스럽게 접었어요.,normal,,,FALSE
pretend,pretend,,v.,~인 척하다 / 가장하다,The girl pretended to be asleep.,그 소녀는 잠든 척했어요.,normal,,,FALSE
shell,shell,,n.,껍데기 / 조개껍질,She found a pretty shell on the beach.,그녀는 해변에서 예쁜 조개껍질을 발견했어요.,normal,,,FALSE
pipe,pipe,,n.,파이프 / 관,Water comes through this pipe.,물이 이 파이프를 통해 나와요.,normal,,,FALSE
flag,flag,,n.,깃발 / 국기,We waved the flag at the parade.,우리는 퍼레이드에서 깃발을 흔들었어요.,normal,,,FALSE
magic,magic,,adj.|n.,마법의 / 마법,The boy believed in magic.,그 소년은 마법을 믿었어요.,normal,,,FALSE
mystery,mystery,,n.,수수께끼 / 미스터리,The old house is a big mystery.,그 오래된 집은 큰 수수께끼예요.,normal,,,FALSE
