lemma,display_word,variant,oxford_pos
material,material,,adj.
wrong,wrong,,n.
pick,pick,,n.
patient,patient,,adj.
current,current,,n.
former,former,,adj.
firm,firm,,n.
official,official,,n.
structure,structure,,v.
catch,catch,,n.
thus,thus,,adv.
attempt,attempt,,n.|v.
medium,medium,,n.
stock,stock,,n.
establish,establish,,v.
function,function,,v.
contract,contract,,n.
contract,contract,,v.
significant,significant,,adj.
gain,gain,,n.|v.
stuff,stuff,,v.
military,military,,adj.|n.
challenge,challenge,,v.
strike,strike,,n.|v.
seek,seek,,v.
target,target,,v.
shall,shall,,modal v.
worth,worth,,n.
investment,investment,,n.
trip,trip,,v.
beyond,beyond,,adv.|prep.
potential,potential,,adj.|n.
trouble,trouble,,v.
file,file,,v.
bar,bar,,v.
advance,advance,,adj.|n.|v.
seat,seat,,v.
associate,associate,,v.
positive,positive,,n.
instance,instance,,n.
assume,assume,,v.
propose,propose,,v.
document,document,,v.
bill,bill,,v.
operate,operate,,v.
income,income,,n.
professional,professional,,n.
debate,debate,,n.|v.
object,object,,v.
maintain,maintain,,v.
credit,credit,,v.
extend,extend,,v.
facility,facility,,n.
screen,screen,,v.
track,track,,v.
agency,agency,,n.
fix,fix,,n.
proposal,proposal,,n.
shape,shape,,v.
estimate,estimate,,n.|v.
