lemma,display_word,variant,oxford_pos
feeling,feeling,,n.
fifteen,fifteen,,number
fifth,fifth,,number
fifty,fifty,,number
forty,forty,,number
fourteen,fourteen,,number
fourth,fourth,,number
friday,Friday,,n.
girlfriend,girlfriend,,n.
grandparent,grandparent,,n.
have to,have to,,modal v.
her,her,,det.|pron.
him,him,,pron.
his,his,,det.
ice cream,ice cream,,n.
interested,interested,,adj.
interesting,interesting,,adj.
its,its,,det.
january,January,,n.
july,July,,n.
june,June,,n.
later,later,,adv.
mall,mall,,n.
married,married,,adj.
me,me,,pron.
meaning,meaning,,n.
meeting,meeting,,n.
midnight,midnight,,n.
monday,Monday,,n.
my,my,,det.
next to,next to,,prep.
nineteen,nineteen,,number
ninety,ninety,,number
no one,no one,,pron.
november,November,,n.
october,October,,n.
oh,oh,,exclam.
onion,onion,,n.
our,our,,det.
o?™clock,o?™clock,,adv.
painting,painting,,n.
policeman,policeman,,n.
reading,reading,,n.
saturday,Saturday,,n.
september,September,,n.
seventeen,seventeen,,number
seventy,seventy,,number
shopping,shopping,,n.
sixteen,sixteen,,number
sixty,sixty,,number
spelling,spelling,,n.
sunday,Sunday,,n.
supermarket,supermarket,,n.
swimming,swimming,,n.
t-shirt,T-shirt,,n.
thanks,thanks,,exclam.|n.
their,their,,det.
them,them,,pron.
thirsty,thirsty,,adj.
thursday,Thursday,,n.
