lemma,display_word,variant,oxford_pos
confirm,confirm,,v.
transport,transport,,v.
neither,neither,,adv.
survive,survive,,v.
technique,technique,technic,n.
improvement,improvement,,n.
consequence,consequence,,n.
reaction,reaction,,n.
combine,combine,,v.
waste,waste,,adj.|n.|v.
marriage,marriage,,n.
repeat,repeat,,n.
equal,equal,,adj.|v.
plus,plus,,prep.
commercial,commercial,,adj.|n.
duty,duty,,n.
strength,strength,,n.
cultural,cultural,,adj.
payment,payment,,n.
appreciate,appreciate,,v.
chapter,chapter,,n.
union,union,,n.
trend,trend,,n.
pleasure,pleasure,,n.
gather,gather,,v.
essential,essential,,adj.
promote,promote,,v.
currently,currently,,adv.
path,path,,n.
attract,attract,,v.
powerful,powerful,,adj.
safety,safety,,n.
divide,divide,,v.
length,length,,n.
package,package,,n.
expand,expand,,v.
commit,commit,,v.
obvious,obvious,,adj.
weapon,weapon,,n.
host,host,,n.
district,district,,n.
tire,tire,,n.
spring,spring,,v.
spirit,spirit,,n.
battle,battle,,n.
hardly,hardly,,adv.
award,award,,v.
coach,coach,,v.
experiment,experiment,,v.
possibly,possibly,,adv.
conclude,conclude,,v.
religious,religious,,adj.
convince,convince,,v.
environmental,environmental,,adj.
location,location,,n.
invest,invest,,v.
glad,glad,,adj.
tape,tape,,n.
murder,murder,,n.|v.
hate,hate,,n.
