lemma,display_word,variant,oxford_pos
purchase,purchase,,n.|v.
survey,survey,,v.
majority,majority,,n.
wind,wind,,v.
budget,budget,,n.
appropriate,appropriate,,adj.
beat,beat,,n.
committee,committee,,n.
handle,handle,,n.|v.
trial,trial,,n.
complex,complex,,n.
conduct,conduct,,n.
conduct,conduct,,v.
otherwise,otherwise,,adv.
title,title,,v.
executive,executive,,adj.|n.
chair,chair,,v.
sample,sample,,v.
inform,inform,,v.
principle,principle,,n.
appeal,appeal,,n.|v.
trust,trust,,n.|v.
additional,additional,,adj.
negative,negative,,n.
ship,ship,,v.
observe,observe,,v.
sentence,sentence,,v.
print,print,,n.
progress,progress,,v.
speed,speed,,v.
display,display,,n.|v.
transfer,transfer,,n.|v.
overall,overall,,adj.|adv.
reveal,reveal,,v.
status,status,,n.
decline,decline,,n.|v.
launch,launch,,n.|v.
favor,favor,favour,v.
institution,institution,,n.
spot,spot,,v.
grant,grant,,n.|v.
feed,feed,,n.
sector,sector,,n.
mistake,mistake,,v.
ensure,ensure,,v.
satisfy,satisfy,,v.
chief,chief,,adj.|n.
labor,labor,labour,n.
procedure,procedure,,n.
struggle,struggle,,n.|v.
select,select,,v.
surround,surround,,v.
extent,extent,,n.
annual,annual,,adj.
fully,fully,,adv.
conflict,conflict,,n.|v.
entire,entire,,adj.
presence,presence,,n.
shift,shift,,v.
defense,defense,defence,n.
