lemma,display_word,variant,oxford_pos
remark,remark,,n.|v.
dozen,dozen,,det.|n.
widely,widely,,adv.
minimum,minimum,,adj.|n.
estate,estate,,n.
expose,expose,,v.
victory,victory,,n.
resolve,resolve,,v.
critic,critic,,n.
permanent,permanent,,adj.
pursue,pursue,,v.
urge,urge,,v.
priority,priority,,n.
stable,stable,,adj.
vast,vast,,adj.
regional,regional,,adj.
incident,incident,,n.
draft,draft,,n.|v.
slip,slip,,v.
accompany,accompany,,v.
illustrate,illustrate,,v.
imply,imply,,v.
temporary,temporary,,adj.
truly,truly,,adv.
disk,disk,,n.
core,core,,adj.|n.
emotional,emotional,,adj.
aircraft,aircraft,,n.
self,self,,n.
existence,existence,,n.
panel,panel,,n.
prime,prime,,adj.
emphasize,emphasize,,v.
maximum,maximum,,adj.|n.
elsewhere,elsewhere,,adv.
initiative,initiative,,n.
discipline,discipline,,n.
extreme,extreme,,n.
passage,passage,,n.
reputation,reputation,,n.
crash,crash,,n.|v.
observation,observation,,n.
concentration,concentration,,n.
deserve,deserve,,v.
defend,defend,,v.
classic,classic,,adj.|n.
collapse,collapse,,n.|v.
fundamental,fundamental,,adj.
abroad,abroad,,adv.
soul,soul,,n.
capable,capable,,adj.
defeat,defeat,,n.|v.
enhance,enhance,,v.
slide,slide,,n.|v.
breast,breast,,n.
encounter,encounter,,n.|v.
excuse,excuse,,n.|v.
partly,partly,,adv.
urban,urban,,adj.
massive,massive,,adj.
