lemma,display_word,variant,oxford_pos
doughnut,doughnut,,n.
duck,duck,,n.|v.
fox,fox,,n.
grape,grape,,n.
gum,gum,,n.
hamburger,hamburger,,n.
helmet,helmet,,n.
hike,hike,,n.|v.
laser,laser,,n.
marathon,marathon,,n.
maths,maths,,n.
medal,medal,,n.
nay,nay,,adv.|n.
nope,nope,,exclam.
notebook,notebook,,n.
pizza,pizza,,n.
puppy,puppy,,n.
quiz,quiz,,n.|v.
rabbit,rabbit,,n.
recreation,recreation,,n.
ribbon,ribbon,,n.
scissors,scissors,,n.
skate,skate,,n.|v.
spaghetti,spaghetti,,n.
steak,steak,,n.
textbook,textbook,,n.
tiger,tiger,,n.
twenty-first,twenty-first,,number
twenty-second,twenty-second,,number
twenty-third,twenty-third,,number
violin,violin,,n.
watermelon,watermelon,,n.
yep,yep,,exclam.
zoo,zoo,,n.
accent,accent,,n.
aloud,aloud,,adv.
ambulance,ambulance,,n.
amuse,amuse,,v.
angel,angel,,n.
ant,ant,,n.
awake,awake,,adj.|v.
awkward,awkward,,adj.
bacon,bacon,,n.
balloon,balloon,,n.
bang,bang,,adv.|exclam.|n.|v.
bare,bare,,adj.|v.
bark,bark,,n.|v.
bay,bay,,n.
bench,bench,,n.
blanket,blanket,,adj.|n.|v.
blonde,blonde,,adj.|n.
bloom,bloom,,n.|v.
bounce,bounce,,n.|v.
bow,bow,,n.|v.
brake,brake,,n.|v.
brick,brick,,n.
bug,bug,,n.|v.
bump,bump,,n.|v.
cage,cage,,n.|v.
calendar,calendar,,n.
