lemma,display_word,variant,oxford_pos
wait,wait,,n.
general,general,,adj.
appear,appear,,v.
toward,toward,towards,prep.
individual,individual,,adj.|n.
sense,sense,,n.
perhaps,perhaps,,adv.
pass,pass,,v.
produce,produce,,v.
law,law,,n.
research,research,,n.|v.
cover,cover,,v.
position,position,,n.
human,human,,adj.|n.
film,film,,n.|v.
war,war,,n.
major,major,,adj.
condition,condition,,n.
decision,decision,,n.
certain,certain,,adj.
forward,forward,,adv.
bear,bear,,n.
himself,himself,,pron.
available,available,,adj.
especially,especially,,adv.
rise,rise,,v.
community,community,,n.
particular,particular,,adj.
role,role,,n.
please,please,,v.
step,step,,n.
themselves,themselves,,pron.
raise,raise,,v.
outside,outside,,adj.|n.|prep.
site,site,,n.
land,land,,v.
finally,finally,,adv.
sign,sign,,n.|v.
relationship,relationship,,n.
death,death,,n.
amount,amount,,n.
organization,organization,,n.
couple,couple,,n.
act,act,,v.
quality,quality,,n.
round,round,,adj.|adv.|prep.
opportunity,opportunity,,n.
wish,wish,,n.|v.
rest,rest,,n.
rest,rest,,v.
kid,kid,,n.
industry,industry,,n.
education,education,,n.
kill,kill,,v.
serve,serve,,v.
likely,likely,,adj.
certainly,certainly,,adv.
national,national,,adj.
itself,itself,,pron.
field,field,,n.
