lemma,display_word,variant,oxford_pos
realistic,realistic,,adj.
satisfied,satisfied,,adj.
saving,saving,,n.
senate,senate,,n.
senator,senator,,n.
shocked,shocked,,adj.
shooting,shooting,,n.
silk,silk,,n.
sincere,sincere,,adj.
spiritual,spiritual,,adj.
sticky,sticky,,adj.
surrounding,surrounding,,adj.
tropical,tropical,,adj.
unconscious,unconscious,,adj.
unexpected,unexpected,,adj.
venue,venue,,n.
vitamin,vitamin,,n.
whom,whom,,pron.
wildlife,wildlife,,n.
willing,willing,,adj.
accord,accord,,n.|v.
pause,pause,,n.|v.
unclear,unclear,,adj.
excite,excite,,v.
reform,reform,,n.|v.
scheme,scheme,,n.|v.
revenue,revenue,,n.
proceed,proceed,,v.
manufacture,manufacture,,n.|v.
moreover,moreover,,adv.
bind,bind,,v.
troop,troop,,n.
asset,asset,,n.
amaze,amaze,,v.
provision,provision,,n.
abuse,abuse,,n.|v.
wed,wed,,v.
investor,investor,,n.
lovely,lovely,,adj.
peak,peak,,adj.|n.|v.
proportion,proportion,,n.
considerable,considerable,,adj.
joint,joint,,adj.|n.
poll,poll,,n.|v.
bore,bore,,n.|v.
somehow,somehow,,adv.
latter,latter,,adj.|n.
index,index,,n.|v.
besides,besides,,adv.|prep.
yield,yield,,n.|v.
legislation,legislation,,n.
mobile,mobile,,adj.|n.
implement,implement,,n.|v.
voter,voter,,n.
absence,absence,,n.
settlement,settlement,,n.
variable,variable,,adj.|n.
appoint,appoint,,v.
prior,prior,,adj.
merely,merely,,adv.
