lemma,display_word,variant,oxford_pos
addict,addict,,n.|v.
administer,administer,,v.
admission,admission,,n.
adolescent,adolescent,,adj.|n.
adverse,adverse,,adj.
aesthetic,aesthetic,,adj.|n.
affection,affection,,n.
agriculture,agriculture,,n.
alert,alert,,adj.|n.|v.
alien,alien,,adj.|n.
alike,alike,,adj.|adv.
allocate,allocate,,v.
alternate,alternate,,adj.|n.|v.
ambassador,ambassador,,n.
ambitious,ambitious,,adj.
analyse,analyse,,v.
anchor,anchor,,n.|v.
apology,apology,,n.
applicant,applicant,,n.
approximate,approximate,,adj.|v.
arrow,arrow,,n.
artifice,artifice,,n.
aspire,aspire,,v.
assault,assault,,n.|v.
assemble,assemble,,v.
assert,assert,,v.
astonish,astonish,,v.
atom,atom,,n.
auction,auction,,n.|v.
authentic,authentic,,adj.
avail,avail,,n.|v.
await,await,,v.
awe,awe,,n.|v.
bankrupt,bankrupt,,adj.|n.|v.
bargain,bargain,,n.|v.
beam,beam,,n.|v.
beard,beard,,n.
beast,beast,,n.
behalf,behalf,,n.
betray,betray,,v.
biography,biography,,n.
blast,blast,,n.|v.
blend,blend,,n.|v.
blink,blink,,n.|v.
blossom,blossom,,n.|v.
bold,bold,,adj.|n.
breeze,breeze,,n.|v.
brutal,brutal,,adj.
brute,brute,,adj.|n.
bulk,bulk,,n.|v.
bull,bull,,n.
bully,bully,,n.|v.
bundle,bundle,,n.|v.
butcher,butcher,,n.|v.
buzz,buzz,,n.|v.
calculator,calculator,,n.
canvas,canvas,,n.|v.
carve,carve,,v.
casual,casual,,adj.|n.
cater,cater,,v.
