lemma,display_word,variant,oxford_pos
painter,painter,,n.
parking,parking,,n.
penny,penny,,n.
pleased,pleased,,adj.
railroad,railroad,,n.
recording,recording,,n.
runner,runner,,n.
running,running,,n.
sadly,sadly,,adv.
sailing,sailing,,n.
scared,scared,,adj.
scary,scary,,adj.
singing,singing,,n.
skiing,skiing,,n.
smartphone,smartphone,,n.
smoking,smoking,,n.
sneaker,sneaker,,n.
spider,spider,,n.
surprised,surprised,,adj.
surprising,surprising,,adj.
tablet,tablet,,n.
teaching,teaching,,n.
thinking,thinking,,n.
thought,thought,,n.
training,training,,n.
trash,trash,,n.
traveler,traveler,,n.
understanding,understanding,,n.
unhappy,unhappy,,adj.
united,united,,adj.
used to,used to,,modal v.
washing,washing,,n.
whose,whose,,det.|pron.
working,working,,adj.
worried,worried,,adj.
worse,worse,,adj.
worst,worst,,adj.
wow,wow,,exclam.
yours,yours,,pron.
it,IT,,n.
that,that,,adv.
this,this,,adv.
by,by,,adv.
will,will,,n.
go,go,,n.
like,like,,n.
now,now,,conj.
need,need,,modal v.
place,place,,v.
still,still,,adj.
point,point,,v.
next,next,,n.
live,live,,adj.
live,live,,adv.
while,while,,n.
kind,kind,,adj.
set,set,,n.
set,set,,v.
since,since,,adv.
hand,hand,,v.
