lemma,display_word,variant,oxford_pos
bath,bath,,n.
pen,pen,,n.
chicken,chicken,,n.
teenager,teenager,,n.
shower,shower,,n.
cousin,cousin,,n.
dialogue,dialogue,dialog,n.
cream,cream,,n.
skirt,skirt,,n.
march,March,,n.
salt,salt,,n.
fantastic,fantastic,,adj.
orange,orange,,adj.|n.
pig,pig,,n.
cow,cow,,n.
cheese,cheese,,n.
guitar,guitar,,n.
piano,piano,,n.
menu,menu,,n.
grandmother,grandmother,,n.
paragraph,paragraph,,n.
chocolate,chocolate,,n.
potato,potato,,n.
ocean,ocean,,n.
uncle,uncle,,n.
rice,rice,,n.
sheep,sheep,,n.
website,website,,n.
aunt,aunt,,n.
hello,hello,,exclam.|n.
blog,blog,,n.
airport,airport,,n.
toilet,toilet,,n.
apple,apple,,n.
banana,banana,,n.
baseball,baseball,,n.
basketball,basketball,,n.
butter,butter,,n.
carrot,carrot,,n.
delicious,delicious,,adj.
eight,eight,,number
elephant,elephant,,n.
eleven,eleven,,number
five,five,,number
four,four,,number
goodbye,goodbye,,exclam.|n.
grandfather,grandfather,,n.
hey,hey,,exclam.
hobby,hobby,,n.
homework,homework,,n.
hundred,hundred,,number
internet,internet,,n.
juice,juice,,n.
lion,lion,,n.
nine,nine,,number
pants,pants,,n.
pencil,pencil,,n.
salad,salad,,n.
sandwich,sandwich,,n.
seven,seven,,number
