lemma,display_word,variant,oxford_pos
dispose,dispose,,v.
disrupt,disrupt,,v.
distort,distort,,v.
distract,distract,,v.
diverse,diverse,,adj.
divine,divine,,adj.|v.
domain,domain,,n.
dominant,dominant,,adj.|n.
dose,dose,,n.|v.
dot,dot,,n.|v.
drain,drain,,n.|v.
drawer,drawer,,n.
dread,dread,,n.|v.
drill,drill,,n.|v.
drown,drown,,v.
dual,dual,,adj.
dull,dull,,adj.|v.
dwell,dwell,,v.
dynamic,dynamic,,adj.|n.
eager,eager,,adj.
elaborate,elaborate,,adj.|v.
elegant,elegant,,adj.
elementary,elementary,,adj.
elevate,elevate,,v.
elite,elite,,adj.|n.
embassy,embassy,,n.
embody,embody,,v.
emergence,emergence,,n.
emission,emission,,n.
emit,emit,,v.
enclose,enclose,,v.
endure,endure,,v.
enforce,enforce,,v.
enroll,enroll,enrol,v.
envy,envy,,n.|v.
equip,equip,,v.
erase,erase,,v.
eraser,eraser,,n.
erect,erect,,adj.|v.
err,err,,v.
essence,essence,,n.
ethic,ethic,,n.
evacuate,evacuate,,v.
exaggerate,exaggerate,,v.
excel,excel,,v.
exclusive,exclusive,,adj.|n.
exotic,exotic,,adj.|n.
expertise,expertise,,n.
explicit,explicit,,adj.
extinct,extinct,,adj.
eyebrow,eyebrow,,n.
fabric,fabric,,n.
facilitate,facilitate,,v.
factual,factual,,adj.
faculty,faculty,,n.
fame,fame,,n.
fare,fare,,n.|v.
fatal,fatal,,adj.
fate,fate,,n.
fertile,fertile,,adj.
