lemma,display_word,variant,oxford_pos
god,god,,n.
behave,behave,,v.
loud,loud,,adj.|adv.
quantity,quantity,,n.
crazy,crazy,,adj.
button,button,,n.
desert,desert,,n.
bowl,bowl,,n.
discovery,discovery,,n.
lend,lend,,v.
digital,digital,,adj.
overseas,overseas,,adv.
tower,tower,,n.
exact,exact,,adj.
virus,virus,,n.
musician,musician,,n.
charity,charity,,n.
cigarette,cigarette,,n.
stupid,stupid,,adj.
twin,twin,,adj.|n.
react,react,,v.
lecture,lecture,,n.|v.
permission,permission,,n.
valley,valley,,n.
electric,electric,,adj.
architecture,architecture,,n.
brush,brush,,n.|v.
gallery,gallery,,n.
golf,golf,,n.
classical,classical,,adj.
disagree,disagree,,v.
chat,chat,,n.|v.
clothing,clothing,,n.
possession,possession,,n.
wooden,wooden,,adj.
ski,ski,,adj.|n.|v.
moon,moon,,n.
airline,airline,,n.
greet,greet,,v.
belt,belt,,n.
invent,invent,,v.
tourism,tourism,,n.
stair,stair,,n.
stomach,stomach,,n.
nowhere,nowhere,,adv.
differently,differently,,adv.
stamp,stamp,,n.
knife,knife,,n.
printer,printer,,n.
adventure,adventure,,n.
quietly,quietly,,adv.
fiction,fiction,,n.
carpet,carpet,,n.
transportation,transportation,,n.
comedy,comedy,,n.
athlete,athlete,,n.
mayor,mayor,,n.
listener,listener,,n.
lazy,lazy,,adj.
third,third,,n.
