lemma,display_word,variant,oxford_pos
completely,completely,,adv.
female,female,,adj.|n.
original,original,,adj.
rock,rock,,n.
dream,dream,,n.|v.
easily,easily,,adv.
fix,fix,,v.
cross,cross,,n.|v.
weight,weight,,n.
shape,shape,,n.
sea,sea,,n.
immediately,immediately,,adv.
welcome,welcome,,n.
smile,smile,,n.|v.
traditional,traditional,,adj.
replace,replace,,v.
herself,herself,,pron.
suddenly,suddenly,,adv.
independent,independent,,adj.
recommend,recommend,,v.
survey,survey,,n.
request,request,,n.
wind,wind,,n.
none,none,,pron.
blood,blood,,n.
block,block,,n.
count,count,,v.
scene,scene,,n.
prevent,prevent,,v.
safe,safe,,adj.
invite,invite,,v.
medical,medical,,adj.
beat,beat,,v.
copy,copy,,n.|v.
stress,stress,,n.|v.
text,text,,v.
context,context,,n.
ride,ride,,n.
heavy,heavy,,adj.
remove,remove,,v.
equipment,equipment,,n.
collect,collect,,v.
straight,straight,,adj.|adv.
flat,flat,,adj.
fair,fair,,adj.
farm,farm,,v.
tour,tour,,n.
alternative,alternative,,n.
ship,ship,,n.
double,double,,adj.|det.|pron.|v.
print,print,,v.
progress,progress,,n.
speed,speed,,n.
reply,reply,,n.|v.
user,user,,n.
respond,respond,,v.
regular,regular,,adj.
physical,physical,,adj.
suit,suit,,n.
peace,peace,,n.
