lemma,display_word,variant,oxford_pos
treat,treat,,v.
loss,loss,,n.
pressure,pressure,,n.
treatment,treatment,,n.
supply,supply,,n.|v.
worth,worth,,adj.
indicate,indicate,,v.
relation,relation,,n.
touch,touch,,n.
file,file,,n.
suffer,suffer,,v.
deep,deep,,adv.
except,except,,conj.
tend,tend,,v.
generally,generally,,adv.
operation,operation,,n.
normal,normal,,n.
push,push,,n.
doubt,doubt,,n.|v.
theory,theory,,n.
reference,reference,,n.
application,application,,n.
obviously,obviously,,adv.
separate,separate,,v.
central,central,,adj.
throughout,throughout,,adv.|prep.
profit,profit,,n.
resource,resource,,n.
balance,balance,,n.|v.
damage,damage,,n.|v.
basis,basis,,n.
basic,basic,,adj.
encourage,encourage,,v.
reflect,reflect,,v.
property,property,,n.
previous,previous,,adj.
define,define,,v.
conclusion,conclusion,,n.
mine,mine,,n.
daily,daily,,adv.
responsibility,responsibility,,n.
original,original,,n.
nor,nor,,adv.|conj.
ahead,ahead,,adv.
candidate,candidate,,n.
legal,legal,,adj.
version,version,,n.
communication,communication,,n.
agent,agent,,n.
judge,judge,,n.|v.
generation,generation,,n.
difficulty,difficulty,,n.
shoot,shoot,,v.
announce,announce,,v.
unless,unless,,conj.
stick,stick,,n.
stick,stick,,v.
request,request,,v.
exchange,exchange,,n.|v.
block,block,,v.
