lemma,display_word,variant,oxford_pos
characteristic,characteristic,,adj.|n.
license,license,licence,n.
rely,rely,,v.
narrow,narrow,,v.
permit,permit,,n.
permit,permit,,v.
commission,commission,,n.|v.
unique,unique,,adj.
association,association,,n.
fuel,fuel,,v.
expectation,expectation,,n.
increasingly,increasingly,,adv.
cast,cast,,n.|v.
notion,notion,,n.
conservative,conservative,,adj.|n.
opposition,opposition,,n.
relief,relief,,n.
debt,debt,,n.
honor,honor,honour,n.|v.
outcome,outcome,,n.
blame,blame,,n.|v.
arise,arise,,v.
recover,recover,,v.
stretch,stretch,,n.|v.
declare,declare,,v.
witness,witness,,n.|v.
selection,selection,,n.
participant,participant,,n.
vision,vision,,n.
fellow,fellow,,adj.
capture,capture,,n.|v.
discount,discount,,v.
chairman,chairman,,n.
constant,constant,,adj.
significantly,significantly,,adv.
ideal,ideal,,n.
somewhat,somewhat,,adv.
faith,faith,,n.
reduction,reduction,,n.
reserve,reserve,,n.|v.
mission,mission,,n.
tone,tone,,n.
justice,justice,,n.
phase,phase,,n.
rush,rush,,n.|v.
command,command,,n.|v.
impose,impose,,v.
closely,closely,,adv.
multiple,multiple,,adj.
via,via,,prep.
county,county,,n.
chart,chart,,v.
hell,hell,,n.
household,household,,n.
acknowledge,acknowledge,,v.
reward,reward,,n.|v.
furthermore,furthermore,,adv.
accuse,accuse,,v.
wage,wage,,n.
construct,construct,,v.
