lemma,display_word,variant,oxford_pos
metal,metal,,n.
bone,bone,,n.
plastic,plastic,,adj.|n.
boss,boss,,n.
extreme,extreme,,adj.
pocket,pocket,,n.
lucky,lucky,,adj.
unusual,unusual,,adj.
king,king,,n.
repair,repair,,v.
borrow,borrow,,v.
reporter,reporter,,n.
climate,climate,,n.
chip,chip,,n.
winner,winner,,n.
mathematics,mathematics,,n.
luck,luck,,n.
illness,illness,,n.
journalist,journalist,,n.
advertisement,advertisement,,n.
neck,neck,,n.
wheel,wheel,,n.
drama,drama,,n.
toy,toy,,adj.|n.
storm,storm,,n.|v.
thick,thick,,adj.
prize,prize,,n.
laughter,laughter,,n.
electricity,electricity,,n.
roof,roof,,n.
silver,silver,,adj.|n.
uniform,uniform,,n.
gate,gate,,n.
profile,profile,,n.
nervous,nervous,,adj.
wet,wet,,adj.
cloud,cloud,,n.
anymore,anymore,,adv.
hero,hero,,n.
sail,sail,,v.
disaster,disaster,,n.
sir,sir,,n.
height,height,,n.
badly,badly,,adv.
everyday,everyday,,adj.
essay,essay,,n.
pollution,pollution,,n.
furniture,furniture,,n.
symbol,symbol,,n.
platform,platform,,n.
designer,designer,,n.
grass,grass,,n.
invitation,invitation,,n.
brilliant,brilliant,,adj.
mirror,mirror,,n.
awful,awful,,adj.
creative,creative,,adj.
planet,planet,,n.
knee,knee,,n.
web,web,,n.
