lemma,display_word,variant,oxford_pos
universe,universe,,n.
flexible,flexible,,adj.
shade,shade,,n.
swear,swear,,v.
solar,solar,,adj.
ashamed,ashamed,,adj.
found,found,,v.
exit,exit,,v.
beg,beg,,v.
bitter,bitter,,adj.
bush,bush,,n.
conscious,conscious,,adj.
cure,cure,,n.|v.
decorate,decorate,,v.
desperate,desperate,,adj.
flame,flame,,n.
forgive,forgive,,v.
heaven,heaven,,n.
interrupt,interrupt,,v.
junior,junior,,adj.
melt,melt,,v.
privacy,privacy,,n.
rub,rub,,v.
shame,shame,,n.
anniversary,anniversary,,n.
artificial,artificial,,adj.
aspect,aspect,,n.
congress,congress,,n.
courage,courage,,n.
criterion,criterion,,n.
decent,decent,,adj.
deliberate,deliberate,,adj.
enthusiastic,enthusiastic,,adj.
ethical,ethical,,adj.
gang,gang,,n.
goods,goods,,n.
heel,heel,,n.
holy,holy,,adj.
institute,institute,,n.
mineral,mineral,,n.
nightmare,nightmare,,n.
obey,obey,,v.
obtain,obtain,,v.
offend,offend,,v.
organ,organ,,n.
psychology,psychology,,n.
rhythm,rhythm,,n.
rubber,rubber,,adj.|n.
satellite,satellite,,n.
shallow,shallow,,adj.
steep,steep,,adj.
stiff,stiff,,adj.
sympathy,sympathy,,n.
tunnel,tunnel,,n.
upward,upward,upwards,adv.
virtual,virtual,,adj.
following,following,,prep.
worse,worse,,n.
worst,worst,,n.
latest,latest,,n.
