lemma,display_word,variant,oxford_pos
no,no,,det.|exclam.
well,well,,adj.|adv.|exclam.
because,because,,conj.
very,very,,adv.
just,just,,adv.
come,come,,v.
could,could,,modal v.
work,work,,n.|v.
use,use,,v.
than,than,,conj.
now,now,,adv.
then,then,,adv.
also,also,,adv.
into,into,,prep.
only,only,,adj.|adv.
look,look,,v.
want,want,,v.
give,give,,v.
first,first,,adv.|det.|number
new,new,,adj.
way,way,,n.
find,find,,v.
over,over,,adv.|prep.
any,any,,det.|pron.
after,after,,prep.
day,day,,n.
where,where,,adv.|conj.
thing,thing,,n.
most,most,,adv.|det.|pron.
should,should,,modal v.
need,need,,v.
much,much,,adv.|det.|pron.
right,right,,adj.
right,right,,adv.
right,right,,n.
how,how,,adv.
back,back,,adv.|n.
mean,mean,,v.
even,even,,adv.
may,May,,n.
here,here,,adv.
many,many,,det.|pron.
last,last,,det.
child,child,,n.
tell,tell,,v.
really,really,,adv.
call,call,,n.|v.
before,before,,prep.
company,company,,n.
through,through,,adv.|prep.
down,down,,adv.|prep.
show,show,,n.|v.
life,life,,n.
man,man,,n.
change,change,,n.|v.
place,place,,n.
long,long,,adj.|adv.
between,between,,prep.
feel,feel,,v.
too,too,,adv.
