lemma,display_word,variant,oxford_pos
overnight,overnight,,adj.|adv.|v.
overwhelm,overwhelm,,v.
pad,pad,,n.|v.
palm,palm,,n.
parliament,parliament,,n.
particle,particle,,n.
pat,pat,,adj.|adv.|n.|v.
patch,patch,,n.|v.
patent,patent,,adj.|n.|v.
pave,pave,,v.
peasant,peasant,,n.
peel,peel,,n.|v.
persist,persist,,v.
petrol,petrol,,n.
pill,pill,,n.
pinch,pinch,,n.|v.
pioneer,pioneer,,n.|v.
polar,polar,,adj.
polish,polish,,n.|v.
pond,pond,,n.
populate,populate,,v.
posit,posit,,v.
preach,preach,,v.
precede,precede,,v.
predator,predator,,n.
prejudice,prejudice,,n.|v.
premium,premium,,adj.|n.
prescribe,prescribe,,v.
preside,preside,,v.
presume,presume,,v.
prevail,prevail,,v.
prey,prey,,n.|v.
primitive,primitive,,adj.|n.
profound,profound,,adj.
programmatic,programmatic,,adj.
prohibit,prohibit,,v.
prominent,prominent,,adj.
pronunciation,pronunciation,,n.
prosper,prosper,,v.
provoke,provoke,,v.
questionnaire,questionnaire,,n.
rage,rage,,n.|v.
rally,rally,,n.|v.
rational,rational,,adj.
rebel,rebel,,n.|v.
refine,refine,,v.
refrigerate,refrigerate,,v.
reinforce,reinforce,,v.
relieve,relieve,,v.
reluctant,reluctant,,adj.
remedy,remedy,,n.|v.
republic,republic,,n.
resemble,resemble,,v.
reside,reside,,v.
respective,respective,,adj.
restrain,restrain,,v.
resume,resume,,n.|v.
retreat,retreat,,n.|v.
revenge,revenge,,n.|v.
revive,revive,,v.
