lemma,display_word,variant,oxford_pos
magnet,magnet,,n.
magnificent,magnificent,,adj.
manifest,manifest,,adj.|v.
manipulate,manipulate,,v.
marine,marine,,adj.|n.
mechanic,mechanic,,n.
mediate,mediate,,v.
medieval,medieval,,adj.
merchant,merchant,,adj.|n.
merge,merge,,v.
merit,merit,,n.|v.
metropolitan,metropolitan,,adj.
microphone,microphone,,n.
migrant,migrant,,n.
migrate,migrate,,v.
miner,miner,,n.
minimal,minimal,,adj.
ministry,ministry,,n.
miracle,miracle,,n.
missile,missile,,n.
mock,mock,,adj.|n.|v.
modest,modest,,adj.
moist,moist,,adj.
moisture,moisture,,n.
molecule,molecule,,n.
mommy,mommy,,n.
monster,monster,,n.
monument,monument,,n.
mortal,mortal,,adj.|n.
motive,motive,,n.
myth,myth,,n.
naive,naive,,adj.
naked,naked,,adj.
narrate,narrate,,v.
nasty,nasty,,adj.
negate,negate,,v.
nephew,nephew,,n.
neutral,neutral,,adj.|n.
noble,noble,,adj.|n.
nod,nod,,n.|v.
nominate,nominate,,v.
nonetheless,nonetheless,,adv.
norm,norm,,n.
oblige,oblige,,v.
obsess,obsess,,v.
occupation,occupation,,n.
occurrence,occurrence,,n.
opportune,opportune,,adj.
opt,opt,,v.
optimist,optimist,,n.
oral,oral,,adj.|n.
orbit,orbit,,n.|v.
orchestra,orchestra,,n.
orient,orient,,n.|v.
orientation,orientation,,n.
outrage,outrage,,n.|v.
outstanding,outstanding,,adj.
overhead,overhead,,adj.|adv.|n.
overlap,overlap,,n.|v.
overlook,overlook,,v.
