lemma,display_word,variant,oxford_pos
cape,cape,,n.
cart,cart,,n.|v.
cheer,cheer,,exclam.|n.|v.
chew,chew,,n.|v.
chop,chop,,n.|v.
cinema,cinema,,n.
cliff,cliff,,n.
clip,clip,,n.|v.
commerce,commerce,,n.
converse,converse,,v.
cop,cop,,n.
cottage,cottage,,n.
crawl,crawl,,n.|v.
crisp,crisp,,adj.|n.|v.
crown,crown,,n.|v.
curl,curl,,n.|v.
cute,cute,,adj.
darling,darling,,adj.|n.
dawn,dawn,,n.|v.
deck,deck,,n.|v.
depart,depart,,v.
disc,disc,,n.
disgust,disgust,,n.|v.
dive,dive,,n.|v.
dolphin,dolphin,,n.
dump,dump,,n.|v.
faint,faint,,adj.|n.|v.
ferry,ferry,,n.|v.
fog,fog,,n.
frankly,frankly,,adv.
fright,fright,,n.
frustrate,frustrate,,v.
giraffe,giraffe,,n.
glory,glory,,n.|v.
glue,glue,,n.|v.
gorgeous,gorgeous,,adj.
grace,grace,,n.|v.
graph,graph,,n.
guilt,guilt,,n.
handsome,handsome,,adj.
honey,honey,,n.
hug,hug,,n.|v.
inspect,inspect,,v.
instant,instant,,adj.|n.
instruct,instruct,,v.
intent,intent,,adj.|n.
jaw,jaw,,n.
lamb,lamb,,n.
lane,lane,,n.
lawn,lawn,,n.
lid,lid,,n.
living room,living room,,n.
marvel,marvel,,n.|v.
mask,mask,,n.|v.
melon,melon,,n.
microwave,microwave,,n.|v.
mill,mill,,n.|v.
mushroom,mushroom,,n.|v.
navy,navy,,n.
nest,nest,,n.|v.
