lemma,display_word,variant,oxford_pos
horizon,horizon,,n.
hostile,hostile,,adj.
hut,hut,,n.
identical,identical,,adj.
ideology,ideology,,n.
illusion,illusion,,n.
imitate,imitate,,v.
immense,immense,,adj.
immigrate,immigrate,,v.
immune,immune,,adj.
imperial,imperial,,adj.
incline,incline,,n.|v.
induce,induce,,v.
inevitable,inevitable,,adj.
infect,infect,,v.
infer,infer,,v.
inference,inference,,n.
inflate,inflate,,v.
inhabit,inhabit,,v.
inherent,inherent,,adj.
inhibit,inhibit,,v.
inject,inject,,v.
inn,inn,,n.
innovate,innovate,,v.
inquire,inquire,enquire,v.
insert,insert,,n.|v.
instinct,instinct,,n.
insult,insult,,n.|v.
intellect,intellect,,n.
interact,interact,,v.
interfere,interfere,,v.
intermediate,intermediate,,adj.|n.
interval,interval,,n.
intervene,intervene,,v.
intimate,intimate,,adj.|n.|v.
intrigue,intrigue,,n.|v.
invade,invade,,v.
inventor,inventor,,n.
irony,irony,,n.
irritate,irritate,,v.
jar,jar,,n.|v.
jog,jog,,n.|v.
kit,kit,,n.|v.
knight,knight,,n.|v.
knot,knot,,n.|v.
ladder,ladder,,n.
lap,lap,,n.|v.
laundry,laundry,,n.
leak,leak,,n.|v.
lease,lease,,n.|v.
legend,legend,,n.
legislate,legislate,,v.
legitimate,legitimate,,adj.|v.
liberty,liberty,,n.
likewise,likewise,,adv.
linguistic,linguistic,,adj.
literal,literal,,adj.
lone,lone,,adj.
loyal,loyal,,adj.
lump,lump,,n.|v.
