lemma,display_word,variant,oxford_pos
the,the,,definite article
be,be,,auxiliary v.|v.
and,and,,conj.
of,of,,prep.
to,to,,infinitive marker|prep.
a,a,an,indefinite article
in,in,,adv.|prep.
have,have,,v.
it,IT,,pron.
you,you,,pron.
he,he,,pron.
for,for,,prep.
they,they,,pron.
not,not,,adv.
that,that,,conj.|det.|pron.
we,we,,pron.
on,on,,adv.|prep.
with,with,,prep.
this,this,,det.|pron.
i,I,,pron.
do,do,,auxiliary v.|v.
as,as,,prep.
at,at,,prep.
she,she,,pron.
but,but,,conj.
from,from,,prep.
by,by,,prep.
will,will,,modal v.
or,or,,conj.
say,say,,v.
go,go,,v.
so,so,,adv.|conj.
all,all,,det.|pron.
if,if,,conj.
one,one,,det.|number|pron.
would,would,,modal v.
about,about,,adv.|prep.
can,can,,modal v.
which,which,,det.|pron.
there,there,,adv.
know,know,,v.
more,more,,adv.|det.|pron.
get,get,,v.
who,who,,pron.
like,like,,prep.
like,like,,v.
when,when,,adv.|conj.|pron.
think,think,,v.
make,make,,v.
time,time,,n.
see,see,,v.
what,what,,det.|pron.
up,up,,adv.|prep.
some,some,,det.|pron.
other,other,,adj.|pron.
out,out,,adv.|prep.
good,good,,adj.
people,people,,n.
year,year,,n.
take,take,,v.
