lemma,display_word,variant,oxford_pos
cattle,cattle,,n.
causal,causal,,adj.
caution,caution,,n.|v.
cave,cave,,n.|v.
cease,cease,,n.|v.
censor,censor,,n.|v.
certificate,certificate,,n.|v.
chaos,chaos,,n.
chill,chill,,adj.|n.|v.
chin,chin,,n.
choir,choir,,n.
chorus,chorus,,n.|v.
chronic,chronic,,adj.
circulate,circulate,,v.
clap,clap,,n.|v.
clarify,clarify,,v.
clash,clash,,n.|v.
classify,classify,,v.
clay,clay,,n.
cling,cling,,v.
clinic,clinic,,n.
coincide,coincide,,v.
collaborate,collaborate,,v.
collar,collar,,n.|v.
colony,colony,,n.
combat,combat,,n.|v.
commodity,commodity,,n.
communist,communist,,adj.|n.
companion,companion,,n.
compatible,compatible,,adj.
compel,compel,,v.
compensate,compensate,,v.
competent,competent,,adj.
compile,compile,,v.
complement,complement,,n.|v.
comprehend,comprehend,,v.
conceal,conceal,,v.
conceive,conceive,,v.
condemn,condemn,,v.
confer,confer,,v.
confess,confess,,v.
confide,confide,,v.
confine,confine,,n.|v.
conform,conform,,v.
confront,confront,,v.
conscience,conscience,,n.
consent,consent,,n.|v.
conserve,conserve,,v.
constitution,constitution,,n.
constrain,constrain,,v.
consumption,consumption,,n.
contend,contend,,v.
contradict,contradict,,v.
contrary,contrary,,adj.|adv.|n.
controversy,controversy,,n.
convene,convene,,v.
convey,convey,,v.
convict,convict,,n.|v.
cooperate,cooperate,,v.
coordinate,coordinate,,adj.|n.|v.
