lemma,display_word,variant,oxford_pos
inspire,inspire,,v.
grand,grand,,adj.
crew,crew,,n.
phenomenon,phenomenon,,n.
alter,alter,,v.
routine,routine,,adj.
stare,stare,,v.
convert,convert,,v.
steady,steady,,adj.
pace,pace,,n.|v.
justify,justify,,v.
vital,vital,,adj.
external,external,,adj.
sweep,sweep,,v.
obligation,obligation,,n.
evaluate,evaluate,,v.
anger,anger,,n.
initially,initially,,adv.
stream,stream,,n.
apparent,apparent,,adj.
constantly,constantly,,adv.
scream,scream,,n.|v.
steel,steel,,n.
transform,transform,,v.
wound,wound,,n.|v.
loose,loose,,adj.
wealth,wealth,,n.
gradually,gradually,,adv.
tank,tank,,n.
evil,evil,,adj.|n.
tune,tune,,n.
transition,transition,,n.
extraordinary,extraordinary,,adj.
pose,pose,,v.
van,van,,n.
curve,curve,,n.|v.
depth,depth,,n.
interpret,interpret,,v.
inner,inner,,adj.
harm,harm,,n.|v.
shadow,shadow,,n.
impress,impress,,v.
infection,infection,,n.
resort,resort,,n.
broadcast,broadcast,,n.|v.
blind,blind,,adj.
pure,pure,,adj.
alarm,alarm,,v.
cite,cite,,v.
sponsor,sponsor,,n.|v.
accurate,accurate,,adj.
desert,desert,,v.
occasionally,occasionally,,adv.
frequency,frequency,,n.
criticize,criticize,criticise,v.
philosophy,philosophy,,n.
approval,approval,,n.
grab,grab,,v.
edit,edit,,v.
dig,dig,,v.
