lemma,display_word,variant,oxford_pos
expenditure,expenditure,,n.
gear,gear,,n.|v.
scholar,scholar,,n.
psychological,psychological,,adj.
dramatically,dramatically,,adv.
stake,stake,,n.|v.
partnership,partnership,,n.
participation,participation,,n.
penalty,penalty,,n.
chamber,chamber,,n.
evolve,evolve,,v.
sake,sake,,n.
boost,boost,,n.|v.
abortion,abortion,,n.
curious,curious,,adj.
boom,boom,,n.|v.
democratic,democratic,,adj.
maintenance,maintenance,,n.
consequently,consequently,,adv.
strengthen,strengthen,,v.
whilst,whilst,,conj.
constraint,constraint,,n.
bin,bin,,n.
undergo,undergo,,v.
potentially,potentially,,adv.
scope,scope,,n.
diversity,diversity,,n.
allege,allege,,v.
pride,pride,,n.|v.
resign,resign,,v.
craft,craft,,n.|v.
concrete,concrete,,adj.|n.
damn,damn,,adj.|adv.|exclam.|n.|v.
distinct,distinct,,adj.
limitation,limitation,,n.
indication,indication,,n.
stability,stability,,n.
neglect,neglect,,n.|v.
compose,compose,,v.
jail,jail,,n.|v.
mere,mere,,adj.
carbon,carbon,,n.
regulate,regulate,,v.
trigger,trigger,,n.|v.
destruction,destruction,,n.
rear,rear,,adj.|n.|v.
presumably,presumably,,adv.
bless,bless,,v.
amendment,amendment,,n.
jury,jury,,n.
cooperation,cooperation,,n.
civilian,civilian,,adj.|n.
composition,composition,,n.
regardless,regardless,,adv.
racial,racial,,adj.
hopefully,hopefully,,adv.
sanction,sanction,,n.|v.
maker,maker,,n.
stimulate,stimulate,,v.
tissue,tissue,,n.
