lemma,display_word,variant,oxford_pos
deny,deny,,v.
basically,basically,,adv.
violence,violence,,n.
minister,minister,,n.
affair,affair,,n.
civil,civil,,adj.
citizen,citizen,,n.
domestic,domestic,,adj.
load,load,,n.|v.
switch,switch,,n.
acquire,acquire,,v.
corporate,corporate,,adj.
tough,tough,,adj.
tear,tear,,n.
tear,tear,,v.
representative,representative,,adj.|n.
capacity,capacity,,n.
border,border,,v.
assessment,assessment,,n.
fee,fee,,n.
regulation,regulation,,n.
component,component,,n.
suspect,suspect,,n.|v.
confidence,confidence,,n.
industrial,industrial,,adj.
perspective,perspective,,n.
assess,assess,,v.
register,register,,n.|v.
relevant,relevant,,adj.
leadership,leadership,,n.
commitment,commitment,,n.
bond,bond,,n.
hire,hire,,n.
internal,internal,,adj.
chain,chain,,v.
threaten,threaten,,v.
division,division,,n.
secure,secure,,adj.|v.
root,root,,n.
expense,expense,,n.
rank,rank,,n.|v.
resident,resident,,adj.|n.
entirely,entirely,,adv.
moral,moral,,adj.|n.
insist,insist,,v.
combination,combination,,n.
principal,principal,,adj.
master,master,,n.|v.
session,session,,n.
grade,grade,,v.
nevertheless,nevertheless,,adv.
protection,protection,,n.
largely,largely,,adv.
shot,shot,,n.
reasonable,reasonable,,adj.
guarantee,guarantee,,n.|v.
judgment,judgment,,n.
approve,approve,,v.
loan,loan,,n.
elect,elect,,v.
