lemma,display_word,variant,oxford_pos
seriously,seriously,,adv.
empty,empty,,v.
practical,practical,,adj.
row,row,,n.
youth,youth,,n.
fuel,fuel,,n.
employment,employment,,n.
sexual,sexual,,adj.
breath,breath,,n.
import,import,,n.|v.
journey,journey,,n.
musical,musical,,n.
retire,retire,,v.
tiny,tiny,,adj.
suitable,suitable,,adj.
native,native,,adj.|n.
mental,mental,,adj.
specifically,specifically,,adv.
entry,entry,,n.
chemical,chemical,,adj.|n.
tip,tip,,v.
discount,discount,,n.
intelligence,intelligence,,n.
folk,folk,,adj.|n.
surely,surely,,adv.
guard,guard,,n.|v.
kiss,kiss,,n.|v.
presentation,presentation,,n.
complaint,complaint,,n.
religion,religion,,n.
reject,reject,,v.
ban,ban,,n.|v.
protest,protest,,n.
protest,protest,,v.
frequently,frequently,,adv.
impression,impression,,n.
unable,unable,,adj.
criminal,criminal,,adj.
properly,properly,,adv.
kick,kick,,n.|v.
unlike,unlike,,prep.
attach,attach,,v.
advise,advise,,v.
academic,academic,,adj.
meanwhile,meanwhile,,adv.
scientific,scientific,,adj.
rare,rare,,adj.
intention,intention,,n.
northern,northern,,adj.
equally,equally,,adv.
emotion,emotion,,n.
enemy,enemy,,n.
talent,talent,,n.
exhibition,exhibition,,n.
producer,producer,,n.
immediate,immediate,,adj.
childhood,childhood,,n.
politician,politician,,n.
knock,knock,,n.
seed,seed,,n.
