lemma,display_word,variant,oxford_pos
street,street,,n.
wife,wife,,n.
sport,sport,,n.
prepare,prepare,,v.
discuss,discuss,,v.
piece,piece,,n.
finish,finish,,v.
fire,fire,,n.
compare,compare,,v.
police,police,,n.
store,store,,n.
poor,poor,,adj.
laugh,laugh,,n.|v.
arm,arm,,n.
bank,bank,,n.
article,article,,n.
fast,fast,,adj.|adv.
pretty,pretty,,adj.|adv.
miss,miss,,v.
art,art,,n.
everyone,everyone,,pron.
forget,forget,,v.
page,page,,n.
summer,summer,,n.
drink,drink,,n.|v.
opinion,opinion,,n.
park,park,,n.|v.
key,key,,adj.|n.
section,section,,n.
plant,plant,,n.
paint,paint,,n.|v.
worker,worker,,n.
evening,evening,,n.
skill,skill,,n.
son,son,,n.
bed,bed,,n.
final,final,,adj.
yesterday,yesterday,,adv.|n.
station,station,,n.
player,player,,n.
wall,wall,,n.
success,success,,n.
tomorrow,tomorrow,,adv.|n.
window,window,,n.
tree,tree,,n.
college,college,,n.
machine,machine,,n.
cent,cent,,n.
floor,floor,,n.
anyone,anyone,,pron.
hotel,hotel,,n.
club,club,,n.
below,below,,adv.|prep.
movie,movie,,n.
doctor,doctor,,n.
sorry,sorry,,adj.|exclam.
statement,statement,,n.
introduce,introduce,,v.
ready,ready,,adj.
mile,mile,,n.
