lemma,display_word,variant,oxford_pos
state,state,,adj.|v.
move,move,,n.
issue,issue,,n.
market,market,,v.
though,though,,adv.|conj.
result,result,,v.
young,young,,n.
close,close,,adv.
program,program,,v.
lead,lead,,n.
far,far,,adj.
face,face,,v.
head,head,,v.
level,level,,adj.
experience,experience,,v.
once,once,,conj.
whether,whether,,conj.
age,age,,v.
within,within,,prep.
view,view,,v.
local,local,,n.
whole,whole,,n.
sort,sort,,v.
deal,deal,,n.
water,water,,v.
base,base,,n.|v.
center,center,,v.
value,value,,n.
force,force,,n.|v.
share,share,,n.
development,development,,n.
clear,clear,,v.
remain,remain,,v.
win,win,,n.
note,note,,v.
type,type,,v.
political,political,,adj.
policy,policy,,n.
further,further,,adv.
require,require,,v.
rule,rule,,v.
pass,pass,,n.
cover,cover,,n.
staff,staff,,n.
account,account,,n.
cut,cut,,n.
raise,raise,,n.
economic,economic,,adj.
charge,charge,,n.|v.
claim,claim,,n.|v.
act,act,,n.
range,range,,n.
therefore,therefore,,adv.
measure,measure,,n.|v.
security,security,,n.
benefit,benefit,,v.
trade,trade,,n.|v.
risk,risk,,n.|v.
standard,standard,,adj.|n.
vote,vote,,n.|v.
