lemma,display_word,variant,oxford_pos
benefit,benefit,,n.
percent,percent,,adj.|adv.|n.
focus,focus,,n.|v.
stage,stage,,n.
instead,instead,,adv.
realize,realize,realise,v.
data,data,,n.
single,single,,adj.|n.
chance,chance,,n.
accept,accept,,v.
society,society,,n.
technology,technology,,n.
mention,mention,,v.
choice,choice,,n.
save,save,,v.
material,material,,n.
attention,attention,,exclam.|n.
check,check,,n.
pick,pick,,v.
reduce,reduce,,v.
ground,ground,,n.
patient,patient,,n.
century,century,,n.
evidence,evidence,,n.
exist,exist,,v.
fight,fight,,n.|v.
leader,leader,,n.
response,response,,n.
voice,voice,,n.
finish,finish,,n.
suppose,suppose,,v.
apply,apply,,v.
president,president,,n.
fire,fire,,v.
knowledge,knowledge,,n.
heart,heart,,n.
source,source,,n.
employee,employee,,n.
manage,manage,,v.
cell,cell,,n.
attack,attack,,n.|v.
foreign,foreign,,adj.
surprise,surprise,,n.|v.
feature,feature,,n.
factor,factor,,n.
recently,recently,,adv.
affect,affect,,v.
drop,drop,,v.
recent,recent,,adj.
worry,worry,,v.
inside,inside,,adj.|adv.|n.|prep.
manager,manager,,n.
international,international,,adj.
contain,contain,,v.
notice,notice,,n.|v.
nature,nature,,n.
structure,structure,,n.
myself,myself,,pron.
exactly,exactly,,adv.
plant,plant,,v.
