lemma,display_word,variant,oxford_pos
consult,consult,,v.
strip,strip,,n.|v.
intervention,intervention,,n.
vice,vice,,n.
radical,radical,,adj.|n.
dimension,dimension,,n.
subsequent,subsequent,,adj.
efficiency,efficiency,,n.
membership,membership,,n.
bloody,bloody,,adj.|adv.|v.
ally,ally,,n.|v.
mature,mature,,adj.|v.
briefly,briefly,,adv.
disturb,disturb,,v.
sustain,sustain,,v.
newly,newly,,adv.
parallel,parallel,,adj.|adv.|n.|v.
gender,gender,,n.
dealer,dealer,,n.
burden,burden,,n.|v.
mate,mate,,n.|v.
shareholder,shareholder,,n.
resistance,resistance,,n.
tap,tap,,n.|v.
attribute,attribute,,n.|v.
entitle,entitle,,v.
involvement,involvement,,n.
exposure,exposure,,n.
conventional,conventional,,adj.
formation,formation,,n.
deposit,deposit,,n.|v.
advocate,advocate,,n.|v.
establishment,establishment,,n.
recovery,recovery,,n.
seal,seal,,n.|v.
characterize,characterize,,v.
specify,specify,,v.
spin,spin,,n.|v.
operator,operator,,n.
infant,infant,,n.
anticipate,anticipate,,v.
dependent,dependent,,adj.|n.
specialize,specialize,,v.
anxiety,anxiety,,n.
precisely,precisely,,adv.
rival,rival,,adj.|n.|v.
moderate,moderate,,adj.|n.|v.
significance,significance,,n.
universal,universal,,adj.|n.
constitute,constitute,,v.
adequate,adequate,,adj.
consultant,consultant,,n.
historian,historian,,n.
keen,keen,,adj.
ethnic,ethnic,,adj.
clinical,clinical,,adj.
forecast,forecast,,n.|v.
segment,segment,,n.|v.
prompt,prompt,,adj.|n.|v.
charm,charm,,n.|v.
