lemma,display_word,variant,oxford_pos
experience,experience,,n.
able,able,,adj.
support,support,,n.|v.
present,present,,v.
side,side,,n.
although,although,,conj.
sure,sure,,adv.
term,term,,n.
least,least,,adv.|det.|pron.
low,low,,adj.|adv.
process,process,,n.
public,public,,adj.|n.
train,train,,v.
actually,actually,,adv.
rather,rather,,adv.
view,view,,n.
consider,consider,,v.
control,control,,n.|v.
already,already,,adv.
almost,almost,,adv.
continue,continue,,v.
whole,whole,,adj.
yet,yet,,adv.
rate,rate,,n.
care,care,,n.|v.
expect,expect,,v.
effect,effect,,n.
sort,sort,,n.
cause,cause,,n.|v.
deal,deal,,v.
allow,allow,,v.
suggest,suggest,,v.
past,past,,adv.
power,power,,n.
matter,matter,,n.|v.
mind,mind,,n.|v.
record,record,,n.
record,record,,v.
stay,stay,,n.
several,several,,det.|pron.
light,light,,v.
develop,develop,,v.
bit,bit,,n.
figure,figure,,n.
half,half,,adv.
clear,clear,,adj.
future,future,,adj.
either,either,,adv.|det.|pron.
per,per,,prep.
top,top,,adj.|n.
among,among,,prep.
involve,involve,,v.
reach,reach,,v.
social,social,,adj.
drive,drive,,n.
along,along,,adv.|prep.
free,free,,adv.
receive,receive,,v.
sale,sale,,n.
further,further,,adj.
