lemma,display_word,variant,oxford_pos
barely,barely,,adv.
pro,pro,,n.|prep.
motivation,motivation,,n.
firmly,firmly,,adv.
interior,interior,,adj.|n.
championship,championship,,n.
excess,excess,,adj.|n.
complexity,complexity,,n.
liability,liability,,n.
surprisingly,surprisingly,,adv.
extract,extract,,n.|v.
implementation,implementation,,n.
bias,bias,,n.|v.
catalog,catalog,catalogue,n.|v.
golden,golden,,adj.
guideline,guideline,,n.
envelope,envelope,,n.
biological,biological,,adj.
weekly,weekly,,adj.|adv.|n.
firstly,firstly,,adv.
exhaust,exhaust,,n.|v.
castle,castle,,n.
veteran,veteran,,n.
reflection,reflection,,n.
determination,determination,,n.
altogether,altogether,,adv.
cluster,cluster,,n.|v.
confusion,confusion,,n.
logic,logic,,n.
controversial,controversial,,adj.
grammar,grammar,,n.
hint,hint,,n.|v.
hook,hook,,n.|v.
panic,panic,,n.|v.
genuine,genuine,,adj.
vessel,vessel,,n.
verb,verb,,n.
reckon,reckon,,v.
harbor,harbor,harbour,n.|v.
chase,chase,,n.|v.
storage,storage,,n.
lover,lover,,n.
rat,rat,,n.
substitute,substitute,,n.|v.
supplement,supplement,,n.|v.
adjustment,adjustment,,n.
reasonably,reasonably,,adv.
filter,filter,,n.|v.
abstract,abstract,,adj.|n.|v.
precise,precise,,adj.
distant,distant,,adj.
situate,situate,,v.
leap,leap,,n.|v.
snap,snap,,adj.|n.|v.
probability,probability,,n.
uncertainty,uncertainty,,n.
refugee,refugee,,n.
shore,shore,,n.
monthly,monthly,,adj.|adv.|n.
comprise,comprise,,v.
