lemma,display_word,variant,oxford_pos
map,map,,n.
island,island,,n.
football,football,,n.
flight,flight,,n.
left,left,,adj.|adv.|n.
neighbor,neighbor,neighbour,n.
traffic,traffic,,n.
rain,rain,,n.|v.
busy,busy,,adj.
lesson,lesson,,n.
funny,funny,,adj.
mountain,mountain,,n.
ticket,ticket,,n.
meal,meal,,n.
bag,bag,,n.
repeat,repeat,,v.
plane,plane,,n.
bird,bird,,n.
topic,topic,,n.
beach,beach,,n.
flower,flower,,n.
boat,boat,,n.
kitchen,kitchen,,n.
twice,twice,,adv.
quiet,quiet,,adj.
nurse,nurse,,n.
winter,winter,,n.
spring,spring,,n.
lunch,lunch,,n.
pool,pool,,n.
afraid,afraid,,adj.
sun,sun,,n.
healthy,healthy,,adj.
wash,wash,,v.
actor,actor,,n.
opposite,opposite,,adj.|adv.|n.|prep.
hate,hate,,v.
egg,egg,,n.
concert,concert,,n.
wine,wine,,n.
camera,camera,,n.
swim,swim,,v.
theater,theater,theatre,n.
coffee,coffee,,n.
museum,museum,,n.
visitor,visitor,,n.
dear,dear,,adj.
scientist,scientist,,n.
tonight,tonight,,adv.|n.
dangerous,dangerous,,adj.
bedroom,bedroom,,n.
climb,climb,,v.
mouth,mouth,,n.
shoe,shoe,,n.
relax,relax,,v.
tourist,tourist,,n.
cup,cup,,n.
description,description,,n.
wake,wake,,v.
west,west,,adj.|adv.|n.
