lemma,display_word,variant,oxford_pos
fiber,fiber,fibre,n.
fierce,fierce,,adj.
finite,finite,,adj.
flavor,flavor,flavour,n.|v.
flaw,flaw,,n.
flee,flee,,v.
flesh,flesh,,n.|v.
flip,flip,,adj.|n.|v.
flock,flock,,n.|v.
flourish,flourish,,n.|v.
flush,flush,,adj.|adv.|n.|v.
fond,fond,,adj.
forbid,forbid,,v.
forehead,forehead,,n.
foster,foster,,adj.|v.
fountain,fountain,,n.
fraction,fraction,,n.
frost,frost,,n.|v.
frown,frown,,n.|v.
fulfil,fulfil,,v.
funeral,funeral,,n.
furious,furious,,adj.
furnish,furnish,,v.
fury,fury,,n.
fuse,fuse,,n.|v.
gamble,gamble,,n.|v.
gasoline,gasoline,,n.
genius,genius,,n.
geology,geology,,n.
glare,glare,,n.|v.
globe,globe,,n.
glow,glow,,n.|v.
goat,goat,,n.
gradual,gradual,,adj.
graphic,graphic,,adj.|n.
grasp,grasp,,n.|v.
grave,grave,,adj.|n.
greed,greed,,n.
grief,grief,,n.
grip,grip,,n.|v.
gross,gross,,adj.|n.|v.
guardian,guardian,,n.
gulf,gulf,,n.
gymnasium,gymnasium,,n.
habitat,habitat,,n.
half moon,half moon,,n.
halt,halt,,n.|v.
hammer,hammer,,n.|v.
handicap,handicap,,n.|v.
harmonious,harmonious,,adj.
harmony,harmony,,n.
harsh,harsh,,adj.
harvest,harvest,,n.|v.
haunt,haunt,,n.|v.
hazard,hazard,,n.|v.
headquarters,headquarters,,n.
heal,heal,,v.
heir,heir,,n.
heritage,heritage,,n.
hierarchy,hierarchy,,n.
