lemma,display_word,variant,oxford_pos
performance,performance,,n.
mention,mention,,n.
total,total,,adj.|n.
limit,limit,,n.|v.
due,due,,adj.
wrong,wrong,,adv.
effort,effort,,n.
upon,upon,,prep.
lie,lie,,n.
current,current,,adj.
contact,contact,,n.|v.
particularly,particularly,,adv.
court,court,,n.
store,store,,v.
simply,simply,,adv.
feature,feature,,v.
drop,drop,,n.
relate,relate,,v.
official,official,,adj.
financial,financial,,adj.
campaign,campaign,,n.|v.
private,private,,adj.
worry,worry,,n.
represent,represent,,v.
key,key,,v.
wonder,wonder,,n.|v.
press,press,,n.|v.
whatever,whatever,,det.|pron.
growth,growth,,n.
influence,influence,,n.|v.
respect,respect,,n.|v.
various,various,,adj.
medium,medium,,adj.
average,average,,v.
management,management,,n.
indeed,indeed,,adv.
economy,economy,,n.
function,function,,n.
addition,addition,,n.
determine,determine,,v.
production,production,,n.
comment,comment,,v.
occur,occur,,v.
direct,direct,,adv.|v.
lack,lack,,n.|v.
board,board,,v.
prove,prove,,v.
stuff,stuff,,n.
analysis,analysis,,n.
election,election,,n.
challenge,challenge,,n.
nation,nation,,n.
despite,despite,,prep.
agreement,agreement,,n.
release,release,,n.|v.
tax,tax,,n.|v.
fear,fear,,v.
aim,aim,,n.|v.
pull,pull,,n.
access,access,,n.|v.
