lemma,display_word,variant,oxford_pos
warm,warm,,v.
count,count,,n.
content,content,,n.
mix,mix,,n.|v.
element,element,,n.
effective,effective,,adj.
admit,admit,,v.
aware,aware,,adj.
administration,administration,,n.
complex,complex,,adj.
directly,directly,,adv.
extra,extra,,adv.|n.
sample,sample,,n.
deliver,deliver,,v.
connection,connection,,n.
primary,primary,,adj.
highly,highly,,adv.
absolutely,absolutely,,adv.
flow,flow,,n.|v.
responsible,responsible,,adj.
collection,collection,,n.
hang,hang,,v.
relative,relative,,adj.|n.
tour,tour,,v.
alternative,alternative,,adj.
software,software,,n.
attitude,attitude,,n.
cheap,cheap,,adv.
double,double,,adv.
truth,truth,,n.
examine,examine,,v.
lay,lay,,v.
politics,politics,,n.
slightly,slightly,,adv.
intend,intend,,v.
slow,slow,,v.
apart,apart,,adv.
suit,suit,,v.
federal,federal,,adj.
percentage,percentage,,n.
decade,decade,,n.
warn,warn,,v.
consumer,consumer,,n.
favor,favor,favour,n.
spot,spot,,n.
eventually,eventually,,adv.
importance,importance,,n.
cool,cool,,v.
wave,wave,,v.
surface,surface,,n.
edge,edge,,n.
global,global,,adj.
contrast,contrast,,n.|v.
roll,roll,,n.|v.
reality,reality,,n.
shift,shift,,n.
net,net,,n.
category,category,,n.
spread,spread,,v.
nuclear,nuclear,,adj.
