lemma,display_word,variant,oxford_pos
attend,attend,,v.
score,score,,n.|v.
organize,organize,organise,v.
sleep,sleep,,n.
fish,fish,,v.
promise,promise,,n.|v.
energy,energy,,n.
trouble,trouble,,n.
touch,touch,,v.
middle,middle,,adj.|n.
strategy,strategy,,n.
deep,deep,,adj.
except,except,,prep.
star,star,,v.
network,network,,n.
avoid,avoid,,v.
seat,seat,,n.
throw,throw,,v.
task,task,,n.
normal,normal,,adj.
goal,goal,,n.
option,option,,n.
huge,huge,,adj.
refer,refer,,v.
push,push,,v.
successful,successful,,adj.
competition,competition,,n.
argument,argument,,n.
adult,adult,,adj.
fly,fly,,n.
document,document,,n.
pattern,pattern,,n.
search,search,,n.|v.
separate,separate,,adj.
anyway,anyway,,adv.
speech,speech,,n.
officer,officer,,n.
oil,oil,,n.
fun,fun,,adj.
protect,protect,,v.
disease,disease,,n.
author,author,,n.
male,male,,adj.|n.
dark,dark,,n.
earn,earn,,v.
perform,perform,,v.
professional,professional,,adj.
mine,mine,,pron.
memory,memory,,n.
credit,credit,,n.
ring,ring,,n.
ring,ring,,v.
discover,discover,,v.
dead,dead,,adj.
possibility,possibility,,n.
direction,direction,,n.
variety,variety,,n.
daily,daily,,adj.
screen,screen,,n.
track,track,,n.
